Compound Name,Type,M,M+NH3,M+CH3NH2
resiniferonol,D,C20H28O6,C20H31O6N1,C21H33O6N
daphneresiniferin A,D,C24H30O8,C24H33O8N1,C25H35O8N
daphnegen B,D,C24H30O10,C24H33O10N1,C25H35O10N
daphnediterp A,D,C25H36O9,C25H39O9N1,C26H41O9N
daphnetoxin (S1),D,C27H30O8,C27H33O8N1,C28H35O8N
daphne factor F4,D,C27H32O8,C27H35O8N1,C28H37O8N
orthobenzoate 2,D,C27H34O8,C27H37O8N1,C28H39O8N
12-OH-daphnetoxin,D,C27H30O9,C27H33O9N1,C28H35O9N
daphnegiraldigin,D,C27H32O9,C27H35O9N1,C28H37O9N
"1,2α-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate",D,C27H34O9,C27H37O9N1,C28H39O9N
"1,2β-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate",D,C27H34O9,C27H37O9N1,C28H39O9N
genkwanine O,D,C27H36O9,C27H39O9N1,C28H41O9N
neogenkwanine A,D,C27H36O9,C27H39O9N1,C28H41O9N
neogenkwanine B,D,C27H36O9,C27H39O9N1,C28H41O9N
neogenkwanine H,D,C27H36O9,C27H39O9N1,C28H41O9N
genkwanine A,D,C27H36O9,C27H39O9N1,C28H41O9N
neogenkwanine I,D,C27H36O9,C27H39O9N1,C28H41O9N
daphneresiniferin B,D,C29H32O8,C29H35O8N1,C30H37O8N
genkwadane F,D,C27H32O10,C27H35O10N1,C28H37O10N
genkwanine I,D,C27H38O10,C27H41O10N1,C28H43O10N
yuahuagine (yuanhuagin),D,C30H38O8,C30H41O8N1,C31H43O8N
excoecaria factor O1,D,C30H38O8,C30H41O8N1,C31H43O8N
yuanhuakine E,D,C29H32O10,C29H35O10N1,C30H37O10N
yuanhuafine,D,C29H32O10,C29H35O10N1,C30H37O10N
yuanhuaoate F,D,C29H32O10,C29H35O10N1,C30H37O10N
yuanhuapine,D,C29H34O10,C29H37O10N1,C30H39O10N
vesiculosin,D,C30H42O9,C30H45O9N1,C31H47O9N
isovesiculosin,D,C30H42O9,C30H45O9N1,C31H47O9N
yuanhuakine C,D,C30H46O9,C30H49O9N1,C31H51O9N
yuanhuaoate A,D,C30H34O10,C30H37O10N1,C31H39O10N
yuanhuakine F,D,C30H36O10,C30H39O10N1,C31H41O10N
wikstrotoxin B,D,C32H44O8,C32H47O8N1,C33H49O8N
genkwanine L,D,C29H36O11,C29H39O11N1,C30H41O11N
daphgenkin F,D,C31H36O10,C31H39O10N1,C32H41O10N
kirkinine D,D,C32H40O10,C32H43O10N1,C33H45O10N
"yuanhuadine (yuanhuadin, synaptolepis factor K4)",D,C32H42O10,C32H45O10N1,C33H47O10N
isoyuanhuadine (isoyuanhuadin),D,C32H42O10,C32H45O10N1,C33H47O10N
yuanhuamine A,D,C32H42O10,C32H45O10N1,C33H47O10N
"5β-hydroxyresiniferonol-6α,7α-epoxy-12β-acetoxy-9,13,14-ortho-2E-decenoate",D,C32H44O10,C32H47O10N1,C33H49O10N
yuanhuaoate C,D,C31H42O11,C31H45O11N1,C32H47O11N
genkwanine M (S8),D,C34H38O9,C34H41O9N1,C35H43O9N
genkwanine N (S7),D,C34H38O9,C34H41O9N1,C35H43O9N
yuanhuahine,D,C33H44O10,C33H47O10N1,C34H49O10N
genkwadaphnin (S10),D,C34H34O10,C34H37O10N1,C35H39O10N
tianchaterpene A,D,C32H44O11,C32H47O11N1,C33H49O11N
yuanhuatine (yuanhuatin),D,C34H36O10,C34H39O10N1,C35H41O10N
genkwadane I,D,C32H44O11,C32H47O11N1,C33H49O11N
genkwanine VIII,D,C34H40O10,C34H43O10N1,C35H45O10N
yuanhuakine D,D,C34H40O10,C34H43O10N1,C35H45O10N
genkwanine D,D,C34H40O10,C34H43O10N1,C35H45O10N
"5β-Hydroxyresiniferonol-6α,7α-epoxy- 9,13,14-ortho-2E-hexadecenoate",D,C36H54O8,C36H57O8N1,C37H59O8N
genkwadane D,D,C34H46O10,C34H49O10N1,C35H51O10N
yuahualine,D,C34H46O10,C34H49O10N1,C35H51O10N
stelleralide I,D,C35H50O9,C35H53O9N1,C36H55O9N
acutilonine G,D,C36H40O9,C36H43O9N1,C37H45O9N
wikstroelide N,D,C35H52O9,C35H55O9N1,C36H57O9N
14'-ethyltetrahydrohuratoxin,D,C36H56O8,C36H59O8N1,C37H61O8N
tanguticanine A,D,C35H40O10,C35H43O10N1,C36H45O10N
stelleralide J,D,C34H52O10,C34H55O10N1,C35H57O10N
yuanhuaoate B,D,C34H36O11,C34H39O11N1,C35H41O11N
genkwadane A,D,C34H36O11,C34H39O11N1,C35H41O11N
genkwanine K,D,C34H42O11,C34H45O11N1,C35H47O11N
yuanhuakine G,D,C35H46O10,C35H49O10N1,C36H51O10N
gnidicin,D,C36H36O10,C36H39O10N1,C37H41O10N
yuanhuamine B,D,C35H48O10,C35H51O10N1,C36H53O10N
altadaphnan A,D,C36H38O10,C36H41O10N1,C37H43O10N
acutilonine F,D,C37H46O9,C37H49O9N1,C38H51O9N
wikstroemia factor M1/M2,D,C37H48O9,C37H51O9N1,C38H53O9N
wikstroelide L,D,C36H50O10,C36H53O10N1,C37H55O10N
acetoxyhuratoxin,D,C36H50O10,C36H53O10N1,C37H55O10N
yuanhuamine C,D,C36H50O10,C36H53O10N1,C37H55O10N
altadaphnan C,D,C37H42O10,C37H45O10N1,C38H47O10N
altadaphnan C,D,C37H42O10,C37H45O10N1,C38H47O10N
odoratrin,D,C37H42O10,C37H45O10N1,C38H47O10N
daphne factors P1,D,C37H42O10,C37H45O10N1,C38H47O10N
altadaphnan B,D,C37H44O10,C37H47O10N1,C38H49O10N
isoyuanhuacine,D,C37H44O10,C37H47O10N1,C38H49O10N
gnididin,D,C37H44O10,C37H47O10N1,C38H49O10N
hirsein A,D,C37H44O10,C37H47O10N1,C38H49O10N
daphne factors P2,D,C37H44O10,C37H47O10N1,C38H49O10N
tanguticanine C,D,C35H40O12,C35H43O12N1,C36H45O12N
genkwanine C,D,C37H48O10,C37H51O10N1,C38H53O10N
genkwanine E,D,C37H48O10,C37H51O10N1,C38H53O10N
