row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc
1,199.9875573,0.14506824,0,0,73400.65,0,0,0
2,158.9611737,0.14655146,390088.25,393891.47,409311.22,387342.75,271870.47,389610.7
3,186.9560253,0.14655146,129244.67,131782.98,139600.95,137107.27,91028.22,130597.08
4,259.8940607,0.14655146,45346.145,64963.82,66116.59,45659.727,48065.004,63761.387
5,276.8963648,0.14655146,156958.9,156099.98,140619.47,146429.84,141308.34,148938.78
6,200.972062,0.17086999,0,116379.52,107409.44,0,108519.52,121053.81
7,159.9689788,0.23521064,434562.53,478072.88,466276.38,464853.2,433191.8,483191
8,182.9849124,0.23924693,0,1966784.5,1910080.8,1845885.2,1823742.1,2030983.2
9,287.8883993,0.26128837,448210.6,444278.22,379497.84,391769.25,402867.88,447296.88
10,246.8618501,0.2629796,171270.88,179330.66,155680.62,154833.7,162711.31,183845.88
11,328.9147265,0.28388909,146304.94,134272.61,134020.27,128037.055,143782.2,137668.53
12,264.8724498,0.294159,402565.03,416974.47,388768.2,351728.5,392525.2,416288.5
13,305.8988478,0.31161132,427423.97,439409.78,353539.75,358462.28,436001.34,449437.22
14,282.8831668,0.32798913,179800.3,184094.12,142467.44,149725.58,179953.42,182400.44
15,271.916182,0.4341611,0,0,0,0,23340.031,0
16,248.9001054,0.43828735,23400.71,11668.126,20158.357,0,45746.234,13849.11
17,259.0919245,0.5055921,0,0,894558.8,715316.06,0,0
18,277.102573,0.5055921,0,0,801317,634295.7,0,0
19,280.9950094,0.5070429,212577.25,74877.555,303706.84,292124.9,0,0
20,234.096753,0.50736755,0,0,0,807243.2,0,0
21,365.1045336,0.5257848,120169.21,327476.1,0,36147.03,251647.94,351376.56
22,266.1229453,0.53510624,1859714,0,863176.6,1494070.8,1429755.8,0
23,180.0862856,0.53692585,639742.7,79468.625,155136.89,256261.67,689746.8,45298.97
24,360.1490356,0.53692585,4166630.8,1880295.2,467368.8,2619445.5,2825300.5,1222044.2
25,325.1120887,0.5377569,1570117.5,384870.97,0,760846.56,1310481.2,235282.61
26,223.0630648,0.53888625,561698.94,0,0,0,0,0
27,443.0472528,0.54684657,83365.805,193887.33,48139.46,73624.27,84643.63,203618.8
28,289.0910915,0.55009985,404061.1,0,367190.66,186857.31,307532.3,0
29,188.0914145,0.5649779,243475.06,0,154754.97,464093.78,203915.7,0
30,193.0703778,0.5649779,86138.14,0,957441.44,269707.88,87822.734,0
31,260.1122993,0.5649779,2976011.8,0,297822.9,722874.1,2238992.2,0
32,278.122916,0.5649779,6374309,0,751651.7,1681526.1,5017508.5,0
33,330.1540859,0.5938672,1102572,0,116343.34,459245.47,838804.6,0
34,292.1383641,0.59424114,229022.2,0,0,27296.004,281095.56,0
35,312.1436287,0.59424114,943158.9,0,0,386162.3,741001.9,0
36,196.1328772,0.60143185,0,256987.31,0,0,0,0
37,172.977031,0.60604846,0,39807.113,0,71556.61,78197.75,32773.957
38,152.1068695,0.6280432,0,0,288482.88,0,0,0
39,182.9849927,0.6308364,1076030.6,830947.1,802882.25,0,1172670.2,0
40,294.1544251,0.6317498,91866.29,0,138592.64,77735.7,0,0
41,200.9721137,0.6401573,0,280930.88,0,0,0,0
42,287.8884203,0.64066225,0,119389.01,0,0,0,116175.16
43,284.1339906,0.66046345,31302.838,0,17698.445,130760.24,24107.906,0
44,305.8988287,0.6710175,0,169431.05,0,0,0,199404.2
45,264.8727658,0.73455215,0,0,0,82301.04,0,0
46,180.1018325,0.74287367,115844.41,0,0,0,78976,0
47,282.883206,0.7513819,0,72408.29,0,44228.242,45607.785,86162.01
48,330.1545739,0.7926807,22955.076,0,0,8671.251,28039.352,0
49,234.1333317,0.8239519,40156.88,0,0,0,0,0
50,264.8726463,0.82959765,73384.12,150565.62,0,65739.65,84004.58,0
51,198.1123104,0.8543741,35346.73,0,0,0,16123.606,0
52,360.1652215,0.8543741,46885.9,0,0,0,40639.76,0
53,200.972215,0.8547938,0,0,227506,0,235770.55,0
54,168.101762,0.86039025,0,0,0,619734.1,0,0
55,223.0633831,0.86045533,0,342089,1014872.6,310097.84,907622.75,813629.94
56,371.1007448,0.86045533,0,593910.25,710246.7,711357.6,724931.7,708231
57,297.0821598,0.8656861,976479.2,415506.72,940308.56,352664.25,977484.8,931960
58,258.1333067,0.8731588,60012.93,0,0,0,31215.727,0
59,312.1436637,0.87611514,357904.5,0,0,173010.81,0,0
60,150.0912421,0.883347,323689.9,0,99879.414,1122214.1,119517.07,0
61,330.1541582,0.890767,1058830.8,0,61737.984,395250.3,453572.66,0
62,200.1279352,0.8993596,24489.62,0,9651.244,55266.75,28956.672,0
63,196.1329345,0.9052876,0,296993.47,0,0,0,41044.008
64,389.015669,0.9230322,0,0,321319.6,0,0,0
65,192.1016594,0.931334,295923.2,0,115505,329411.34,112580.71,0
66,210.1122153,0.931334,430721.78,0,140753.7,453713.84,144176.2,0
67,316.138694,0.9382384,0,0,0,79862.11,49587.6,0
68,230.1020109,0.94645953,47445.555,0,29656.941,29857.777,36213.12,0
69,448.1960591,0.9528743,0,311856.12,0,0,0,34388.855
70,294.1543536,0.9544568,0,0,88393.54,44209.203,37585.984,0
71,402.1593912,0.9561431,59722.758,0,0,0,0,0
72,311.0729965,0.95657253,0,0,99607.65,0,0,0
73,346.1492976,0.9855306,0,0,0,0,297805.7,0
74,182.0810228,0.9872544,0,0,94159.32,33484.586,0,0
75,180.1380634,0.99879456,0,161925.58,0,0,0,22782.84
76,268.1037153,1.0110958,60850.316,0,840150.1,452675.78,120913.75,0
77,276.1440206,1.0338728,98686.34,0,110676.914,68054.67,57026.457,0
78,294.1543765,1.0338728,184942.95,0,215080.69,73505.8,103226.37,0
79,300.1438206,1.0338728,42754.375,0,121159.945,71346.14,44046.43,0
80,312.1437562,1.0498306,364242.2,0,0,440124.62,372607.4,0
81,340.1386705,1.0714949,0,80164.81,0,0,13495.501,0
82,284.0986311,1.0839564,0,0,77057.56,0,0,0
83,289.0900644,1.0903424,17887.93,0,275001.9,34805.953,11118.673,0
84,243.990018,1.1028033,38909.81,0,16042.926,0,159237.78,0
85,240.1227486,1.1078014,58074.383,0,18070.465,76586.32,51351.457,0
86,222.1122916,1.1157498,156849.05,0,0,159554.94,114320.15,0
87,166.0861668,1.1306084,17093.469,0,38008.973,116599.83,23189.113,0
88,284.1338226,1.1381927,58205.453,0,32761.756,232654.36,44052.098,0
89,321.0262396,1.1381927,17794.164,0,10318.846,65862.336,9192.16,0
90,300.1438052,1.1448654,0,0,124243.59,0,0,0
91,267.1073071,1.1653551,15208.395,0,0,68917.16,0,0
92,229.1543412,1.1899338,23479.98,0,63571.39,61048.125,0,0
93,287.888728,1.2145213,0,0,0,0,64858.855,0
94,305.8991474,1.2490746,330356.2,0,0,319096.8,91529.89,0
95,178.0861379,1.262204,31105.668,6340.0024,0,0,26792.574,0
96,438.1754851,1.2737601,0,0,90451.12,0,0,0
97,226.1071415,1.2758704,0,0,0,0,309285,0
98,798.2863673,1.2913213,0,0,19746.947,14341.912,0,0
99,152.1069167,1.3110247,0,0,437951.34,7354.135,0,0
100,416.1545345,1.3110447,0,0,90503.38,30423.305,12531.6,0
101,194.1173504,1.3268974,0,62580.016,0,0,0,0
102,245.099203,1.3641683,0,0,67189.86,0,0,0
103,323.0418076,1.3641683,0,0,78957.43,0,0,0
104,367.1857874,1.3641683,0,0,152149.08,0,0,0
105,340.138966,1.3765386,21522.35,0,0,0,0,0
106,438.1753453,1.398373,0,0,116504.81,0,0,0
107,180.1380323,1.4267192,0,2059377.8,0,0,0,312511.7
108,238.1071474,1.4332633,26238.338,0,0,9744.581,12997.056,0
109,239.995082,1.4430037,0,0,0,0,105576.555,0
110,281.02185,1.4430037,0,0,0,0,14497.998,0
111,166.1224973,1.464071,0,0,26603.559,0,0,0
112,314.15929,1.464071,0,0,70889.38,0,0,0
113,312.1438737,1.4856421,275171.34,0,0,61604.836,245600.4,0
114,532.1870807,1.4897208,0,0,12388.184,6599.8643,0,0
115,208.1329034,1.4922992,0,27831.39,0,0,0,0
116,180.1018087,1.4977572,281661.1,0,6088.133,13841.266,230109.69,0
117,328.1386981,1.5094852,23346.998,0,0,0,56310.21,0
118,448.1961202,1.5231272,0,169402.98,0,0,0,0
119,282.1195131,1.525366,0,0,13457.391,0,0,0
120,237.1228865,1.5505154,0,0,0,38956.594,0,0
121,358.1490275,1.5628281,0,0,106251.445,0,0,0
122,343.1020494,1.5812403,0,0,0,19610.797,0,0
123,194.1174018,1.5925791,0,144404.22,0,0,0,68001
124,204.0653545,1.6079972,0,0,0,0,10682.688,0
125,208.1330377,1.6240784,0,22227.586,0,0,0,0
126,310.128087,1.6634688,58550.195,0,125423.81,45886.336,33636.656,0
127,328.1386175,1.6634688,106595.35,0,386117.28,130455.78,105476.01,0
128,342.1547217,1.6903316,57163.22,0,0,0,36374.457,0
129,166.0861534,1.7123283,9926.001,0,452755.3,99171.61,0,0
130,358.1490201,1.7132223,29467.96,0,280267.3,0,0,0
131,254.1383587,1.7283696,59295.688,0,0,22516.316,43471.55,0
132,324.1438895,1.7406641,211462.55,0,0,0,103009.86,0
133,150.0913035,1.7422376,45471.145,0,0,36858.246,33184.4,0
134,178.1224267,1.7552091,0,20807.723,0,0,0,0
135,414.1751624,1.758472,0,0,44917.88,0,0,0
136,504.2072955,1.7610307,14126.207,0,69591.2,0,0,0
137,210.1485371,1.7890989,0,86809.86,0,0,0,10297.846
138,191.1176915,1.7933506,0,0,40549.67,0,0,0
139,228.0499838,1.8187767,0,0,8708.206,28900.105,10205.76,0
140,606.2022119,1.8238809,0,0,26390.021,0,0,0
141,192.1016275,1.8352247,0,129381.75,0,0,0,39568.617
142,448.1961015,1.8881724,0,123890.05,0,0,0,15851.376
143,466.1916082,1.913891,0,19149.178,0,0,0,0
144,205.1334085,1.920398,0,0,60090.434,0,0,0
145,294.1333652,1.9246601,59275.188,0,0,0,39623.477,0
146,323.1597124,1.9400908,25025.668,0,0,0,15368.006,0
147,400.1709738,1.9507675,0,0,48865.883,0,0,0
148,188.0916092,1.9553875,6376.5635,0,0,0,16614.523,0
149,254.1383257,1.9583615,24736.924,0,13922.258,34704.22,20995.02,0
150,468.1863714,1.9583615,13471.809,0,120046.35,38021.566,9933.181,0
151,164.1069399,1.9708152,77881.305,0,0,0,54357.53,0
152,462.1754629,1.9803104,0,39721.832,0,0,0,0
153,326.1596581,1.9852701,97803.22,0,0,69700.49,111128.336,0
154,416.1544787,1.9883634,0,0,18340.916,0,0,0
155,318.1543765,2.0296216,0,0,20827.664,61124.78,0,0
156,484.2539425,2.0620964,12853.24,0,0,8138.282,8404.947,0
157,468.1861621,2.0780096,0,0,57358.613,6256.538,0,0
158,236.1279082,2.081086,0,0,9627.347,20238.469,8202.139,0
159,254.1383822,2.081086,0,0,6479.753,16524.225,8138.645,0
160,194.1173592,2.1062503,0,179524.75,0,0,0,0
161,464.1910017,2.1106825,0,31115.75,0,0,0,6345.593
162,428.1910874,2.1159418,0,0,9974.809,0,0,0
163,462.2115628,2.1717415,0,69985.37,0,0,0,0
164,264.1228859,2.1978269,78693.33,0,0,25171.037,78076.516,0
165,326.1595011,2.2073016,43794.22,0,0,0,27189.883,0
166,358.1642277,2.2116141,0,17337.684,0,0,0,6961.661
167,632.1813194,2.226124,0,0,102215.96,0,0,0
168,448.1959038,2.2265973,0,1339546.6,0,0,0,182137.81
169,190.0860156,2.2573853,0,23592.61,0,0,0,5591.792
170,168.06547,2.2584794,0,0,0,0,26392.688,0
171,240.0858896,2.2981331,0,0,0,0,21949.195,0
172,464.2125514,2.3371866,0,0,0,34514.023,0,0
173,444.1649576,2.360662,0,17482.725,0,0,0,0
174,367.1496548,2.3865156,0,0,64002.34,288249.34,15685.069,0
175,194.1174684,2.3989136,252940.81,0,0,0,0,0
176,206.0810867,2.3990302,0,0,0,0,23022.115,0
177,438.1756177,2.4233503,0,0,34888.906,0,0,0
178,158.0811423,2.4294052,0,0,0,0,73796.78,0
179,294.1333272,2.4376478,0,0,0,54905.816,0,0
180,218.078636,2.4682765,0,0,0,0,26577.889,0
181,178.0861332,2.4724474,0,0,0,87912.15,224778.72,0
182,196.0966726,2.4772527,0,0,0,253694.31,577916.56,25884.885
183,193.1335759,2.493387,0,0,16897.89,0,0,0
184,470.1655538,2.5459611,16392.559,0,0,53115.246,12000.6875,0
185,488.1759708,2.5459611,25384.053,0,0,103331.58,18216.453,0
186,510.1580875,2.5459611,11439.014,0,0,41678.477,6630.426,0
187,324.1438213,2.550133,22067.74,0,0,0,40939.125,0
188,358.1642129,2.5664568,0,41863.277,0,0,0,0
189,188.0703933,2.5786703,0,0,135731.58,246718.44,0,0
190,205.0969402,2.5786703,0,0,91404.86,162476.06,0,0
191,300.1590342,2.5974052,0,26126.277,0,0,0,0
192,193.1433446,2.6540442,0,0,18473.654,0,0,20817.818
193,158.0812017,2.6658256,0,0,0,0,24105.008,0
194,326.1232919,2.6664515,0,0,0,34175.188,10268.877,0
195,531.1703715,2.6681466,0,37272.62,0,0,0,0
196,308.1125513,2.6747031,12116.0625,0,8413.294,97114.81,25000.39,0
197,438.1753832,2.6886964,0,0,13485.029,0,0,0
198,357.1175865,2.728587,0,0,0,24929.535,0,0
199,358.1642321,2.7298882,0,46362.453,0,0,0,0
200,254.1020347,2.7362673,0,0,0,0,15888.338,0
201,377.2067176,2.7397258,87244.44,0,0,0,41267.887,0
202,227.175088,2.7534702,0,0,0,202829.23,0,153489
203,450.1963694,2.7602792,0,193747.88,0,0,0,0
204,314.0653069,2.769436,0,106925.25,0,0,0,35088.242
205,341.086265,2.8226964,0,0,85976.32,0,0,0
206,394.1127448,2.8226964,0,0,35762.664,0,0,0
207,410.0163137,2.8226964,0,0,11582.893,0,0,0
208,360.2009918,2.824849,0,0,0,71145.836,0,0
209,150.0912657,2.8364658,0,0,0,0,36363.734,0
210,286.1434333,2.8378577,0,60873.477,0,0,0,39759.22
211,358.1642238,2.8378577,0,64911.68,0,0,0,18863.764
212,192.1016805,2.8456283,0,0,0,43396.3,350104.88,0
213,325.0912506,2.8480968,0,0,40567.387,100645.95,16134.712,0
214,357.1174584,2.8547907,0,0,0,134633.67,0,0
215,360.1649448,2.8547907,0,0,0,75012.09,0,0
216,210.1122536,2.872373,19296.94,0,19650.697,43932.08,366230.22,0
217,328.1538157,2.888548,0,43686.188,0,0,0,12484.794
218,464.1911238,2.888548,0,99415.46,0,0,0,28393.18
219,230.1173373,2.923758,0,0,0,22989.95,0,0
220,360.2010618,2.923758,0,0,0,78787.02,0,0
221,358.1643494,2.9257612,0,17057.66,0,0,0,0
222,177.0544995,2.94818,29548.107,0,16816.965,153999.67,0,0
223,427.207211,2.9681156,68455.62,0,0,32286.584,116541.234,0
224,218.0810471,2.9694822,0,0,0,0,110835.516,0
225,250.1071317,2.9694822,0,0,0,0,81843.68,0
226,377.2066961,2.972753,75441.37,0,0,0,48383.26,0
227,340.1750956,2.9998317,0,0,0,0,29321.768,0
228,227.1750815,3.0072951,245632.23,203504.44,209987.81,0,196240.1,36730.29
229,325.0912788,3.0110435,0,0,42564.69,29468.94,11389.0625,0
230,260.1278728,3.034967,128057.43,0,0,0,94415.09,0
231,377.2067001,3.034967,64871.5,0,0,0,34182.324,0
232,265.1544589,3.0546272,0,0,0,124078.54,0,0
233,372.1431901,3.0738063,0,113978.14,0,0,0,13372.303
234,339.1070757,3.0750427,9346.452,0,0,17453.756,47113.242,0
235,268.1177678,3.0952196,0,0,0,0,38643.574,0
236,398.2017419,3.1055102,27700.74,0,0,0,0,0
237,380.1700169,3.1154652,0,0,0,68362.766,0,0
238,344.2274347,3.1484585,19122.662,49061.9,39473.805,33745.867,28670.43,54729.242
239,314.1744125,3.1583214,0,353104.7,0,0,0,43389.92
240,339.1071468,3.1624472,10557.099,0,0,18301.275,31962.498,0
241,373.1966134,3.1682944,40394.96,0,0,0,27625.795,0
242,488.1755758,3.1774817,0,0,506924.03,0,0,0
243,309.0964921,3.1837013,10105.596,0,0,15736.336,57416.734,0
244,372.1433505,3.1838496,0,0,0,0,0,18718.963
245,260.1279486,3.199963,32811.445,0,0,0,24717.707,0
246,455.0266306,3.2148707,0,0,42009.33,35163.777,0,0
247,177.0543936,3.2188063,20196.117,560547.25,0,0,0,0
248,163.0387863,3.2241173,0,88013.51,264050.28,164113.31,44990.43,0
249,355.1017863,3.2258918,22066.477,262130.78,639939.9,513972.53,141817.02,31748.102
250,171.0651204,3.2341285,0,0,0,0,85936.04,0
251,193.0494067,3.276354,0,0,12642.916,0,0,0
252,501.1598142,3.276354,0,0,72684.29,0,0,0
253,314.1382192,3.2763848,0,242403.61,0,0,0,38513.004
254,330.1694058,3.2763848,0,80315.85,0,0,0,9239.498
255,303.1335837,3.2789874,50508.867,0,24694.887,81797.016,44298.355,0
256,308.1124852,3.2848763,11045.053,0,0,0,135767.62,0
257,611.1601197,3.3106196,0,0,0,285259.28,0,0
258,297.0604402,3.315556,0,0,45808.508,0,0,0
259,369.1173542,3.3239317,0,461973.6,0,48038.195,20164.754,0
260,356.1484686,3.3256679,0,78103.375,0,0,0,16105.699
261,212.0915768,3.3338833,0,0,0,0,34095.96,0
262,388.2534312,3.3436291,0,58784.137,0,38843.74,48864.47,0
263,339.1070483,3.3458805,10787.77,0,0,25372.459,52661.617,0
264,268.0962385,3.3557894,0,12380.381,0,0,0,37041.35
265,314.174288,3.3557894,0,3162721.8,0,0,0,394990.56
266,300.1223479,3.356331,0,44404.098,0,0,0,0
267,222.112294,3.364114,0,0,0,0,51088.266,0
268,311.0756751,3.3896918,0,0,6506.0947,0,29179.734,0
269,303.1336748,3.3901863,48211.234,0,24414.146,67522.58,37470.758,0
270,504.2221086,3.3909688,0,32692.047,0,0,0,0
271,294.1333293,3.4028447,0,0,0,0,90487.664,0
272,300.1226054,3.421834,0,80129.08,0,0,0,0
273,388.2534864,3.4437342,88425.27,60186.29,42330.203,32499.379,34126.117,91275.125
274,538.2272261,3.4569101,0,55889.082,0,0,0,0
275,339.1070626,3.4907358,57978.344,0,0,82863.95,266922.47,0
276,418.1851934,3.4919188,0,86193.63,0,0,0,0
277,230.1173582,3.5058928,0,0,28819.377,352873.94,0,0
278,177.0544564,3.5387797,60180.113,17291.523,0,294073.9,182566.48,0
279,194.0810818,3.542075,0,0,0,26017.064,47257.047,55155.73
280,395.0734422,3.5443223,16714.75,0,0,71400.82,59177.9,0
281,195.0650706,3.5454137,22099.709,0,12376.447,128325.75,81894.945,0
282,379.0994394,3.5454137,37529.863,0,14578.385,125410.91,104044.86,0
283,434.1801761,3.5521183,0,18167.746,0,0,0,0
284,448.1957804,3.5550096,0,1177209.4,0,0,0,159382.08
285,328.1535885,3.570444,0,213589.4,0,0,0,64881.246
286,556.2380056,3.582349,0,30742.72,0,0,0,0
287,356.1487012,3.5856757,12837.188,572772.5,0,0,11434.651,62739.51
288,207.1377535,3.6018908,125421.6,0,0,0,0,0
289,345.5586213,3.6354864,0,0,0,89160.15,0,0
290,595.1644202,3.64181,0,0,2426148.2,3235981.5,0,0
291,312.1579743,3.6491656,0,29328.873,0,0,0,0
292,300.1588685,3.649451,0,0,0,0,0,39098.164
293,169.0494105,3.660719,0,0,0,0,67967.08,0
294,194.0810794,3.660719,0,0,0,0,35303.65,0
295,309.0964571,3.6628833,0,0,0,9918.307,78240.305,0
296,280.1540701,3.6757667,14413.157,0,0,41760.54,11610.431,0
297,432.2793699,3.6787677,0,70040.12,0,0,0,0
298,342.1694915,3.6788094,0,2.22E+07,28561.363,0,0,3497761
299,192.1013968,3.6790621,0,333948.03,0,0,0,47655.62
300,287.1386899,3.707592,70928.37,0,0,177545.64,84772.36,0
301,432.2797588,3.7233174,99962.58,79046.89,0,90845.87,103023.555,117816.83
302,209.0805184,3.7463224,0,51909.883,0,0,0,0
303,468.2222577,3.7490697,0,0,0,0,0,120675.28
304,339.1069436,3.750344,51223.41,0,10669.349,69283.11,161040.05,0
305,174.0911928,3.7549722,0,0,0,0,145923.5,0
306,267.0860603,3.7549722,0,0,0,0,85007.71,0
307,177.0544104,3.7575428,33744.363,57391.098,0,83985.586,0,0
308,340.2589476,3.7588942,346617.75,177723.5,241631.3,260346.92,246298.61,260938.77
309,592.2377497,3.7762089,0,1021096.4,0,0,0,0
310,374.1803722,3.7796037,0,0,94111.47,0,0,0
311,328.1537436,3.7834442,0,141391.31,0,19316.322,0,16438.93
312,625.1753239,3.7974832,159368.3,0,0,1963510.1,0,0
313,344.185007,3.8125067,0,1483914.8,0,0,0,152165.38
314,265.1431034,3.8231213,0,0,0,0,456495.7,0
315,358.1641333,3.843286,0,40366.125,0,0,0,22214.828
316,208.0966252,3.8528543,0,0,0,0,160387.02,0
317,568.2170392,3.8798263,0,99203.85,0,0,0,66391.695
318,276.1228742,3.8872738,0,0,0,4872.082,20434.38,0
319,287.1387847,3.8879676,0,0,0,17069.906,0,0
320,977.2758035,3.893868,46254.645,0,0,0,32275.791,0
321,625.1757543,3.8964455,92493.8,0,538855.5,250782.62,54306.176,0
322,328.1900194,3.9104676,0,652857.06,0,0,0,101516.12
323,578.2222683,3.9108963,0,34079.39,0,0,0,0
324,339.1069858,3.9174638,58781.902,69087.234,165775.16,113636.57,402427.8,0
325,595.1653221,3.9293008,0,0,54077.004,27802.227,0,0
326,379.0996387,3.9323158,14252.732,0,0,19861.277,85553.586,0
327,598.2274595,3.9410667,0,196107.39,0,0,0,57824.125
328,282.1333253,3.9463716,0,0,0,0,134646.94,0
329,357.1173302,3.9463716,0,0,0,0,39791.29,0
330,422.1076065,3.9486537,0,0,0,29132.697,0,0
331,209.0441722,3.9759378,0,15836.203,0,0,0,89640.68
332,194.0810616,3.9849064,0,0,0,0,104304,0
333,177.0544396,3.9856021,66295.555,503540.56,0,0,297357.88,0
334,476.3062573,3.9941037,89622.55,125682.45,84514.164,74153.76,87216.625,98803.47
335,326.1381066,4.0062604,0,155053.69,0,0,0,9835.488
336,342.1694433,4.0062604,0,2503691,0,0,0,87906.49
337,274.1434689,4.0091853,43553.37,193175.33,42153.39,86105.62,35686.31,41111.152
338,191.0701027,4.0150046,0,0,0,0,27808.02,0
339,493.1336134,4.0158887,0,0,0,130801.45,0,0
340,369.1171582,4.0391097,0,275902.62,0,0,0,0
341,469.0421284,4.0391097,0,45578.13,0,0,0,0
342,249.1117798,4.048966,0,0,27221.973,0,0,0
343,225.1119125,4.0795183,0,0,0,0,53412.586,0
344,364.1961338,4.0860806,0,0,0,21545.195,0,0
345,385.1257241,4.0860806,0,0,0,10528.645,0,0
346,328.1540228,4.0866685,0,67233.734,0,30780.729,0,17366.79
347,815.2234765,4.0910378,36362.91,0,0,0,37004.715,0
348,177.0544246,4.139577,22462.582,1631170.1,59657.684,129137.32,0,307265.7
349,311.0756483,4.1469707,0,0,35595.105,10115.518,30760.398,0
350,595.1652641,4.1473856,0,0,72725.914,21606.29,0,0
351,625.1756375,4.1624155,0,0,16342.252,58796.566,0,0
352,469.0421494,4.167632,0,74632.94,0,0,0,31425.297
353,391.0988692,4.1694655,0,108845.07,0,0,0,0
354,330.169268,4.1715736,0,11120.961,0,0,0,17419.965
355,369.1172592,4.1731176,0,3971540.2,133451.84,162748.17,98148.31,768007.4
356,355.172169,4.1767755,0,0,43171.305,55185.43,11021.296,0
