row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C14 loss,C14 loss_ion_pair,C14 loss_intensity_pair,C14 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C5 loss,C5 loss_ion_pair,C5 loss_intensity_pair,C5 loss_score,C4 loss,C4 loss_ion_pair,C4 loss_intensity_pair,C4 loss_score,C10 ion,C10 ion_intensity,C10 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,C27 ion,C27 ion_intensity,C27 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,R3_id,R4_id,R5_id,R6_id,R7_id,R8_id,Total Score,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O1,61000.00,0.6100,C20H20O3,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,5,"C2,C7",C2*4+C7*1,"benzoyl(0.27),benzoyl(1.70)","acyl,acyl,acyl,acyl,benzoyl",A8,B1,C1,M1,R1,R1,R1,R1,R92,none,none,none,4.155399999999999,A8B1C1M1,,,,0.0,Top1,1.0
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O1,61000.00,0.6100,C20H20O3,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,4,"C2,C4,C7",C2*2+C7*1+C4*1,"benzoyl(0.27),benzoyl(1.70)","acyl,acyl,benzoyl,isobutyryl",A8,B1,C1,M1,R1,R1,R92,R3,none,none,none,none,4.155399999999999,A8B1C1M1,,,,0.0,Top1,1.0
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O2,29000.00,0.2900,C20H18O2,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,3,C5,C5*3,"benzoyl(0.27),benzoyl(1.70)","2-methylbutyryl,2-methylbutyryl,2-methylbutyryl",A8,B1,C1,M1,R4,R4,R4,none,none,none,none,none,4.155399999999999,A8B1C1M1,,,,0.0,Top1,1.0
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O1,61000.00,0.6100,C20H20O3,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,3,"C4,C7",C7*1+C4*2,"benzoyl(0.27),benzoyl(1.70)","benzoyl,isobutyryl,isobutyryl",A8,B1,C1,M1,R92,R3,R3,none,none,none,none,none,4.155399999999999,A8B1C1M1,,,,0.0,Top1,1.0
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O1,61000.00,0.6100,C20H22O4,8600.00,0.0860,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-one,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,5,"C2,C7",C2*4+C7*1,"benzoyl(0.27),benzoyl(1.70)","acyl,acyl,acyl,acyl,benzoyl",A6,B1,C1,M1,R1,R1,R1,R1,R92,none,none,none,3.7814,A6B1C1M1,,,,0.0,Top2,0.91
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O1,61000.00,0.6100,C20H22O4,8600.00,0.0860,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-one,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,3,C5,C5*3,"benzoyl(0.27),benzoyl(1.70)","2-methylbutyryl,2-methylbutyryl,2-methylbutyryl",A6,B1,C1,M1,R4,R4,R4,none,none,none,none,none,3.7814,A6B1C1M1,,,,0.0,Top2,0.91
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O2,29000.00,0.2900,C20H22O4,8600.00,0.0860,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-one,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,3,"C4,C7",C7*1+C4*2,"benzoyl(0.27),benzoyl(1.70)","benzoyl,isobutyryl,isobutyryl",A6,B1,C1,M1,R92,R3,R3,none,none,none,none,none,3.7814,A6B1C1M1,,,,0.0,Top2,0.91
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H18O3,C30H38O6 / C20H20O3,110000.0 / 46000.0,0.4285,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O2,29000.00,0.2900,C20H22O4,8600.00,0.0860,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-one,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,4,"C2,C4,C7",C2*2+C7*1+C4*1,"benzoyl(0.27),benzoyl(1.70)","acyl,acyl,benzoyl,isobutyryl",A6,B1,C1,M1,R1,R1,R92,R3,none,none,none,none,3.7814,A6B1C1M1,,,,0.0,Top2,0.91
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H16O2,C30H36O5 / C20H20O3,88000.0 / 46000.0,0.4118,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O2,29000.00,0.2900,C20H18O2,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with one substituent,4,"C2,C4",C2*1+C4*3,"benzoyl(0.27),benzoyl(1.70)","acyl,isobutyryl,isobutyryl,isobutyryl",A8,B1,C1,M3,R1,R3,R3,R3,none,none,none,none,3.7245000000000004,A8B1C1M3,,,,0.0,Top3,0.896
16,775.368,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32",C10H16O2,C30H36O5 / C20H20O3,88000.0 / 46000.0,0.4118,C14H24O4,C30H38O6 / C16H14O2,110000.0 / 9700.0,0.2237,C9H16O2,C29H36O5 / C20H20O3,44000.0 / 46000.0,0.4309,C3H4O2,C30H38O6 / C27H34O4,110000.0 / 62000.0,0.5519,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,20000.0 / 110000.0,0.2726,C5H10O2,C25H30O4 / C20H20O2,6600.0 / 8600.0,0.0602,C4H8O2,C24H30O3 / C20H22O1,7300.0 / 6400.0,0.0605,none,none,none,C14H14O3,5600.00,0.0560,none,none,none,none,none,none,C17H16O1,12000.00,0.1200,C18H18O1,42000.00,0.4200,C19H18O2,29000.00,0.2900,C20H18O2,46000.00,0.4600,C27H34O4,62000.00,0.6200,C7H4O,170000.00,1.7000,18.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with one substituent,2,C7,C7*2,"benzoyl(0.27),benzoyl(1.70)","benzoyl,benzoyl",A8,B1,C1,M3,R92,R92,none,none,none,none,none,none,3.7245000000000004,A8B1C1M3,c7ccccc7C(=O)OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(OC(=O)c8ccccc8)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01151053,C44H54O11,758.905,Top3,0.896
