row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
16,775.3679716,10.2,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD,C44H54O12,possibly known,(DA51)std_gnidimacrin,[M+H]+,"16, 32"
20,970.4214134,9.0,0.0,0.0,0.0,4225507.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5488395.887,0.0,0.0,0.0,0.0,1440324.583,0.0,0.0,0.0,12700000.0,0.0,0.0,19200000.0,0.0,0.0,8248074.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514577.1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6310115.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,22,MD,C53H63O16N1,possibly known,(DA56)std_daphneodorin A,[M+NH4]+,"112, 20"
32,792.3946505,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000000.0,0.0,0.0,0.0,0.0,4033430.55,2185321.339,0.0,13000000.0,0.0,0.0,4540547.97,0.0,17200000.0,4885940.394,0.0,0.0,0.0,0.0,14800000.0,0.0,1526551.276,9449974.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,9,24,MD,C44H57O12N1,possibly known,(DA51)std_gnidimacrin,[M+NH4]+,"16, 32"
35,759.3734538,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5160331.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13100000.0,0.0,0.0,1022381.014,0.0,0.0,5130401.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759556.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835042.728,6,17,MD,C44H54O11,possibly undescribed,none,[M+H]+,none
62,850.4003092,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9784699.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8969766.806,0.0,0.0,167000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996461.1821,10200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256313.642,8,19,MD,C46H59O14N1,possibly known,(DA54)std_stelleralide F,[M+NH4]+,none
79,817.3795013,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613768.7254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7702782.099,0.0,0.0,9942707.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836336.1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,17,MD,C46H56O13,possibly undescribed,none,[M+H]+,"157, 79"
112,953.3941193,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5384303.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764773.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18,MD,C53H60O16,possibly known,(DA56)std_daphneodorin A,[M+H]+,"112, 20"
127,653.3309583,10.4,560639.7952,1609257.863,0.0,9440233.956,1921272.007,0.0,2391233.071,11500000.0,1859725.618,0.0,7132395.393,13100000.0,2812239.308,0.0,0.0,13500000.0,706173.729,0.0,0.0,0.0,1998473.375,327497.1948,0.0,11600000.0,339863.2789,0.0,19500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5277584.847,0.0,0.0,0.0,0.0,0.0,0.0,273537.9249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,15,MD,C37H48O10,possibly known,(DA41)std_wikstroelide F,[M+H]+,none
157,834.4063314,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592756.855,0.0,0.0,5598968.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442359.7474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,MD,C46H59O13N1,possibly undescribed,none,[M+NH4]+,"157, 79"
191,653.3317784,10.8,705032.8282,0.0,0.0,0.0,0.0,931900.8308,0.0,0.0,0.0,0.0,0.0,879920.2736,58600000.0,0.0,0.0,513439.6919,0.0,0.0,0.0,0.0,931000.4047,0.0,0.0,2574582.541,0.0,0.0,3307537.049,0.0,4076848.965,1999763.494,0.0,0.0,0.0,0.0,386031.4912,0.0,0.0,367446.965,0.0,0.0,847010.1496,0.0,0.0,0.0,0.0,0.0,525913.0829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18,MD,C37H48O10,possibly undescribed,(DA41)std_wikstroelide F isomer,[M+H]+,none
