Compound Number,GroupID,GroupMembers,row ID,row m/z,row retention time,Dta-ap,Dbh-w,Dax-tl,Dgr-ap,Dfe-w,Dgem-w,Dgi-w,Dac-tl,Dyu-w,Dau-tl,Dre-tl,Dpa-tl,Dpe-w,Dat-ls,Dki-w,Dho-w,Dde-w,Dod-fr,Dod-b,Dod-l,Dod-r,Dod-s,Dje-fr,Dje-ft,Dge-fr,Dps-fr,Dps-ft,Dpo-fr,Dpo-l,Dpo-s,Wdo-w,Wla-w,Wsc-w,Wpi-w,Wli-w,Wpa-w,Win-l,Win-s,Wca-w,Wal-w,Wli-ap,Wli-r,Wst-w,Wnu-w,Wlu-w,Wmi-tl,Wde-w,Wtr,Ega-w,Eal-w,Ech-ft,Ech-b,Ech-l,Ech-s,Ech-fr,Sch-r,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,R3_id,R4_id,R5_id,R6_id,R7_id,R8_id,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score,Confidence Level
1,142,[2629],2629,680.2911,1.1,0,0,4640179.017,798955.5878,0,0,0,0,0,0,0,974616.3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,D,C33H45O14N1,possibly undescribed,none,[M+NH4]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C13,C13*1,"benzoyl(0.20),feruloyl(0.06),benzoyl(0.18)",none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
2,653,"[9570,11819]",9570,487.2326,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263346.0865,0,0,0,0,0,0,0,6521292.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525713.0685,0,0,0,0,0,0,0,0,0,14,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,"11819, 9570",11,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.45),feruloyl(0.18),benzoyl(1.20)",benzoyl,A4,B1,C1,none,R92,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00007944,C27H34O8,486.561,Top1,1,High Confidence
3,670,[11817],11817,522.27,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624408.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,D,C27H39O9N1,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+NH4]+,none,9,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.55),feruloyl(0.11),benzoyl(0.28)",benzoyl,A4,B1,C1,none,R92,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00007944,C27H34O8,486.561,Top1,1,Low Confidence
4,141,[2620],2620,680.2907,1.6,0,0,4494737.898,2513391.032,0,0,0,0,0,0,0,1704455.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,D,C33H45O14N1,possibly undescribed,none,[M+NH4]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C13,C13*1,8-9-epoxy-2-4-6-undecatrienoyl(0.03),none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
5,716,[10541],10541,404.2636,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226759.038,0,0,0,0,0,0,1274699.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7962536.788,0,0,0,6,0,D,C20H37O7N1,possibly undescribed,none,[M+NH4]+,none,3,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,"nonadienoyl(0.09),4-oxo-2-nonenoyl(0.09),6-methoxy-7-hydroxy-2-4-dodecadienoyl(0.13)",none,A4,B7,C1,none,none,none,none,,,,,,A4B7C1,,,,0,Top1,1,Low Confidence
6,297,[11807],11807,451.2112,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9450418.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,D,C27H30O6,possibly undescribed,none,[M+H]+,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.14),nonanoyl(0.04),feruloyl(0.02),benzoyl(1.20)",benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top2,0.979,Low Confidence
7,542,[7955],7955,314.2686,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,260795.2746,1078304.168,0,0,1760673.314,381409.6702,0,0,0,0,0,3060365.422,0,0,0,0,0,0,0,0,0,0,0,176756.4763,0,0,0,0,0,0,0,0,0,0,0,0,194158.6447,0,0,1641252.596,1003817.457,587902.3017,0,9,0,D,C18H35O3N1,possibly undescribed,none,[M+NH4]+,none,2,"1,2-dihydro-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C-2,C-2*1,octadecatrienoyl(0.01),none,A2,B3,C1,none,none,none,none,,,,,,A2B3C1,OCC1=CC2C3OC4OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(=O)C2(O)C1O,PD00000042,C21H28O7,392.448,Top1,1,Low Confidence
8,590,[11802],11802,522.2697,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,D,C27H39O9N1,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+NH4]+,none,9,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.10),benzoyl(0.50)",benzoyl,A3,B1,C2,none,R92,none,none,,,,,,A3B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00008328,C27H32O9,500.544,Top1,1,Low Confidence
9,718,[12417],12417,404.2279,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521357.311,0,0,0,6,0,D,C19H33O8N1,possibly undescribed,none,[M+NH4]+,none,4,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C-1,C-1*1,"nonadienoyl(0.09),4-oxo-2-nonenoyl(0.09),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.04)",none,A4,B7,C1,none,none,none,none,,,,,,A4B7C1,,,,0,Top1,1,Low Confidence
10,535,[2423],2423,505.243,1.8,0,0,0,0,0,0,320014.3675,0,0,0,0,0,0,0,0,0,325934.7007,0,0,0,0,0,0,0,20600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768844.0746,0,0,0,0,0,0,0,0,0,12,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none,10,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.17),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.02)",benzoyl,A2,B1,C2,none,R92,none,none,,,,,,A2B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00008232,C27H32O9,500.544,Top2,0.798,Low Confidence
