row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
1,655.2524567,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847000000.0,0.0,0.0,109000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,D,C38H38O10,possibly known,(DA20)std_mezerein,[M+H]+,"1, 23"
2,591.2584932,8.8,68200000.0,4709378.087,254145.55,19300000.0,14700000.0,2811561.067,17700000.0,25100000.0,5619185.514,6663405.105,14000000.0,62100000.0,2251164.148,8248956.521,0.0,2077287.573,3250893.578,0.0,0.0,674910.2854,8809729.914,1687891.885,0.0,576000000.0,0.0,0.0,2440000000.0,0.0,0.0,0.0,6439611.312,26000000.0,208000000.0,306576.1302,325000000.0,5927013.087,0.0,0.0,1807985.442,909993.9112,1180000000.0,452000000.0,8154871.524,0.0,39000000.0,0.0,396000000.0,0.0,672670.2882,0.0,0.0,0.0,0.0,0.0,2052768.167,0.0,20,0,D,C34H38O9,possibly known,(DA08)std_genkwanine M,[M+H]+,none
3,657.2677765,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97400000.0,0.0,0.0,118000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,D,C38H40O10,possibly known,onishibarin A,[M+H]+,none
5,649.3002913,10.7,15400000.0,16000000.0,555498.9456,6457810.9,1537601.726,0.0,12200000.0,104000000.0,2715672.392,0.0,51200000.0,18100000.0,794179.8521,1761337.917,0.0,0.0,5561677.132,0.0,806474.1358,0.0,1388519.137,0.0,0.0,54400000.0,7030045.351,0.0,3810075.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,D,C37H44O10,possibly known,(DA18)std_yuanhuacine,[M+H]+,none
6,629.2381856,7.7,119000000.0,4538744.28,6504684.69,504000000.0,4795255.861,3428236.662,70300000.0,0.0,0.0,0.0,459000000.0,55200000.0,0.0,10900000.0,0.0,0.0,19200000.0,0.0,0.0,0.0,4278957.322,5021816.458,0.0,58400000.0,7110379.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D,C36H36O10,possibly known,gnidicin,[M+H]+,"1975, 6"
7,647.2846507,10.0,1310000000.0,933000000.0,168000000.0,103000000.0,89600000.0,255925.358,643000000.0,18400000.0,445000000.0,0.0,1690000000.0,1970000000.0,0.0,49600000.0,2199744.062,0.0,290000000.0,1664660.105,0.0,0.0,0.0,19400000.0,0.0,62600000.0,0.0,0.0,9713000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832380.35,0.0,0.0,0.0,0.0,3472057.242,0.0,0.0,0.0,3251722.78,0.0,0.0,0.0,0.0,6905480.411,0.0,0.0,0.0,0.0,0.0,14700000.0,0.0,13,0,D,C37H42O10,possibly known,(DA16)std_yuanhuajine,[M+H]+,"441, 7"
8,643.2881368,10.8,396669.9008,488109.3504,0.0,0.0,188933.6071,0.0,0.0,676778.9812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000000.0,0.0,0.0,1710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,D,C20H50O22,possibly known,onishibarin B,[M+H]+,none
9,603.222277,6.8,2380546.575,4175096.598,0.0,283000000.0,2622250.33,0.0,70200000.0,60500000.0,0.0,0.0,68400000.0,101000000.0,0.0,1959628.333,0.0,0.0,50400000.0,0.0,0.0,0.0,0.0,4851742.828,0.0,44100000.0,254000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745728.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,D,C34H34O10,possibly known,(DA10)std_genkwadaphnin,[M+H]+,none
10,637.3365603,12.6,0.0,2830324.419,0.0,0.0,1902678.706,1457121.956,7999909.393,5415838.301,2862819.59,0.0,0.0,107000000.0,0.0,1351099.211,0.0,913784.873,11100000.0,0.0,8365641.525,0.0,1542323.237,0.0,0.0,47400000.0,0.0,0.0,265000000.0,0.0,0.0,0.0,0.0,7213201.568,211000000.0,0.0,32100000.0,0.0,0.0,0.0,0.0,0.0,400292.9101,33700000.0,0.0,0.0,5138474.775,0.0,78600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164808.11,0.0,19,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none
13,591.2589092,7.8,416424.8541,0.0,0.0,271241.4859,175436.0071,0.0,0.0,0.0,0.0,0.0,0.0,346826.3437,0.0,182268.4344,0.0,0.0,0.0,0.0,0.0,0.0,245751.7878,0.0,0.0,29200000.0,0.0,0.0,168000000.0,0.0,0.0,0.0,0.0,947334.055,12300000.0,0.0,13700000.0,0.0,0.0,0.0,0.0,0.0,19300000.0,11800000.0,246616.7961,0.0,849753.7922,0.0,11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none
