row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area
1,655.2524567,8.734482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47E+08,0,0,1.09E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,591.2584932,8.815949478,6.82E+07,4709378.087,254145.55,1.93E+07,1.47E+07,2811561.067,1.77E+07,2.51E+07,5619185.514,6663405.105,1.40E+07,6.21E+07,2251164.148,8248956.521,0,2077287.573,3250893.578,0,0,674910.2854,8809729.914,1687891.885,0,5.76E+08,0,0,2.44E+09,0,0,0,6439611.312,2.60E+07,2.08E+08,306576.1302,3.25E+08,5927013.087,0,0,1807985.442,909993.9112,1.18E+09,4.52E+08,8154871.524,0,3.90E+07,0,3.96E+08,0,672670.2882,0,0,0,0,0,2052768.167,0
3,657.2677765,8.8946756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E+07,0,0,1.18E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,301.0709724,2.081512292,1148098.712,0,2.77E+08,0,0,325299.7698,0,4.74E+08,0,0,0,0,0,0,262683.1312,0,0,319568.5939,5.06E+07,0,0,0,1.96E+08,4.88E+07,2395660.791,0,7.37E+07,0,0,0,0,0,0,0,0,0,0,0,826727.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,649.3002913,10.66596789,1.54E+07,1.60E+07,555498.9456,6457810.9,1537601.726,0,1.22E+07,1.04E+08,2715672.392,0,5.12E+07,1.81E+07,794179.8521,1761337.917,0,0,5561677.132,0,806474.1358,0,1388519.137,0,0,5.44E+07,7030045.351,0,3810075.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,629.2381856,7.7174197,1.19E+08,4538744.28,6504684.69,5.04E+08,4795255.861,3428236.662,7.03E+07,0,0,0,4.59E+08,5.52E+07,0,1.09E+07,0,0,1.92E+07,0,0,0,4278957.322,5021816.458,0,5.84E+07,7110379.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,647.2846507,10.00881596,1.31E+09,9.33E+08,1.68E+08,1.03E+08,8.96E+07,255925.358,6.43E+08,1.84E+07,4.45E+08,0,1.69E+09,1.97E+09,0,4.96E+07,2199744.062,0,2.90E+08,1664660.105,0,0,0,1.94E+07,0,6.26E+07,0,0,9713000.6,0,0,0,0,0,0,0,1832380.35,0,0,0,0,3472057.242,0,0,0,3251722.78,0,0,0,0,6905480.411,0,0,0,0,0,1.47E+07,0
8,643.2881368,10.84485533,396669.9008,488109.3504,0,0,188933.6071,0,0,676778.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+08,0,0,1.71E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,603.222277,6.7554025,2380546.575,4175096.598,0,2.83E+08,2622250.33,0,7.02E+07,6.05E+07,0,0,6.84E+07,1.01E+08,0,1959628.333,0,0,5.04E+07,0,0,0,0,4851742.828,0,4.41E+07,2.54E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745728.087,0,0,0,0,0,0,0
10,637.3365603,12.58025241,0,2830324.419,0,0,1902678.706,1457121.956,7999909.393,5415838.301,2862819.59,0,0,1.07E+08,0,1351099.211,0,913784.873,1.11E+07,0,8365641.525,0,1542323.237,0,0,4.74E+07,0,0,2.65E+08,0,0,0,0,7213201.568,2.11E+08,0,3.21E+07,0,0,0,0,0,400292.9101,3.37E+07,0,0,5138474.775,0,7.86E+07,0,0,0,0,0,0,0,4164808.11,0
