row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
11906,363.1793,3.0,0.0,4835.249,0.0,0.0,11055.422,0.0,176739.92,142927.11,0.0,0.0,0.0,0.0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none
16023,389.1959,3.7,0.0,0.0,0.0,0.0,0.0,0.0,12862.954,9967.224,0.0,130069.8,55026.176,68151.54,10,0,D,C22H28O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,71000.0 / 4700.0,0.1376,C2H4O2,C22H26O5 / C20H22O3,3100.0 / 71000.0,0.1308,none,none,none,none
16070,363.1803,3.7,0.0,0.0,0.0,0.0,0.0,0.0,62378.324,36112.01,0.0,0.0,0.0,0.0,11,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,12000.0 / 7700.0,0.0686,none,none,none,none,none,none,none,none
18421,363.1795,4.2,0.0,0.0,0.0,0.0,0.0,0.0,57382.934,54951.836,0.0,7286.15,0.0,0.0,10,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,11000.0 / 4500.0,0.0421,none,none,none,none,none,none,none,none
18806,528.2804,4.2,0.0,0.0,0.0,0.0,0.0,0.0,44340.56,44351.348,0.0,0.0,0.0,0.0,6,0,D,C26H41O10N1,possibly undescribed,none,[M+NH4]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21232,366.2274,4.6,0.0,0.0,0.0,0.0,0.0,0.0,37103.223,42161.28,0.0,0.0,0.0,0.0,6,0,D,C20H31O5N1,possibly undescribed,none,[M+NH4]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24271,512.2854,5.2,0.0,0.0,0.0,0.0,0.0,0.0,30889.11,36790.258,0.0,0.0,0.0,0.0,7,0,D,C26H41O9N1,possibly known,daphnediterp A,[M+NH4]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27408,451.2115,5.8,0.0,0.0,0.0,0.0,0.0,0.0,34797.914,41644.293,0.0,0.0,0.0,0.0,7,0,D,C27H30O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,4000.0 / 2000.0,0.018
27643,487.2326,5.9,0.0,5368.4355,18884.115,0.0,0.0,13896.364,48540.445,56320.75,0.0,0.0,0.0,0.0,14,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,2900.0 / 2600.0,0.0248,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,12000.0 / 1700.0,0.0274,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,2900.0 / 8500.0,0.0288
28449,315.1955,6.0,0.0,0.0,0.0,0.0,0.0,0.0,74575.086,102702.35,0.0,0.0,0.0,0.0,7,0,D,C20H26O3,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
