row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
99,104.1068716,0.19850333,0,0,0,0,0,0,86527.6,0,0,79602.336,39553.258,74057.086
112,167.0128682,0.20321706,0,0,0,0,0,143333.69,0,0,0,0,0,0
124,125.9864411,0.20586447,0,407150.78,371220.28,0,0,407393.12,0,0,0,0,0,0
130,143.9969107,0.2103316,0,0,0,0,0,215202.64,0,0,0,0,0,0
141,140.0682164,0.21768571,0,0,0,0,0,49992.203,0,0,0,0,0,0
165,240.9874777,0.24674796,0,0,629326.8,0,0,0,0,0,0,0,0,0
168,301.9575613,0.24674796,0,0,1730978.2,0,0,0,0,0,0,0,0,0
169,194.1176444,0.24678464,0,531959.75,110206.766,192179.8,658549.3,253127.8,0,0,0,0,0,0
172,256.9596304,0.24718714,0,0,2520547,0,2436729.2,2465527,0,0,0,0,0,0
183,319.0015383,0.25047708,0,0,718848.75,0,0,775737.56,0,0,0,0,0,0
205,245.9678124,0.2568036,0,0,466156.62,452406.97,0,1439616.5,0,0,0,0,0,0
206,273.9625493,0.25689042,0,7027057,4929240,6516478,0,9210007,0,0,0,0,0,0
207,153.4893569,0.25691488,0,866791.4,607976.25,720955.8,0,968448.5,0,0,0,0,0,0
218,137.0017019,0.2586154,0,2006875.9,1585013.8,1769121.1,0,2498134,0,0,0,0,0,0
220,165.50116,0.25867528,0,633768.75,544992.75,590554.9,0,1921479.9,0,0,0,0,0,0
221,157.5148864,0.2590182,0,0,543898.6,577667.06,0,890876.56,0,0,0,0,0,0
222,144.9878268,0.25912997,0,4919779,5128024.5,4690765.5,7713300.5,1.64E+07,0,0,0,0,0,0
233,183.9947752,0.26061207,0,2710944.8,2284551.2,2775514,3620006.8,3322091,0,0,0,0,0,0
244,228.9649307,0.2619412,0,913217.5,858571.1,1078395.8,904257.6,1015364.8,0,0,0,0,0,0
270,179.0170827,0.26900595,0,5139803,4654772.5,5129563,0,6447249.5,0,0,0,0,0,0
301,352.9889675,0.27969447,0,947896.2,716255.06,995543.94,1429237.5,1429759.6,0,0,0,0,0,0
