row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C15 ion,C15 ion_intensity,C15 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,Acyl B ion,Acyl B ion_intensity,Acyl B ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C6 ion,C6 ion_intensity,C6 ion_score,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,Total Score,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score
1,615.3149,11.2,1180000000.0,DA13_wikstroelide H (NSC-13),C=C(C)C12OC3(C=CC=CCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,15,0,D,C34H46O10,possibly known,"yuahualine, std_wikstroelide H (DA13), genkwadane D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,600000.0 / 390000.0,3.4755,C2H4O2,C22H22O6 / C20H18O4,64000.0 / 790000.0,1.5813,none,none,none,none,none,none,none,C17H16O3,390000.0,3.9,C18H16O1,100000.0,1.0,C19H20O4,150000.0,1.5,C20H20O5,600000.00,6.0000,C12H18O,6300000.0,63.0,none,none,none,C5H4O,170000.00,1.7000,C6H6O,290000.00,2.9000,12.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,C7,C7*2,"acyl(1.58),dodecadienoyl(63.00)","acyl,dodecadienoyl",A1,B1,C2,none,R1,R39,76.9813,A1B1C2,OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(OC(=O)C=CC=CCCCCCCC)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00125107,C34H46O10,614.732,Top1,1.0
1,615.3149,11.2,1180000000.0,DA13_wikstroelide H (NSC-13),C=C(C)C12OC3(C=CC=CCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,15,0,D,C34H46O10,possibly known,"yuahualine, std_wikstroelide H (DA13), genkwadane D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,600000.0 / 390000.0,3.4755,C2H4O2,C22H22O6 / C20H18O4,64000.0 / 790000.0,1.5813,none,none,none,none,none,none,none,C17H16O3,390000.0,3.9,C18H16O1,100000.0,1.0,C19H20O4,150000.0,1.5,C20H20O5,600000.00,6.0000,C12H18O,6300000.0,63.0,none,none,none,C5H4O,170000.00,1.7000,C6H6O,290000.00,2.9000,12.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,C7,C7*2,"acyl(1.58),dodecadienoyl(63.00)","acyl,dodecadienoyl",A1,B1,C2,none,R1,R39,76.9813,A1B1C2,CCCCCCCC=CC=CC(=O)OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00288067,C34H46O10,614.732,Top1,1.0
2,643.3462,13.3,1160000000.0,DA15_wikstroelide A (NSC-1),C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,13,0,D,C36H50O10,possibly known,"yuanhuamine C, std_wikstroelide A (DA15), wikstroelide L, acetoxyhuratoxin",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,121302.8203125 / 60419.0546875,0.5441,C2H4O2,C36H50O10 / C34H46O8,174779.078125 / 3224.241943359375,0.304,none,none,none,none,none,none,none,C17H16O3,60419.05,0.6042,C18H18O2,27683.45,0.2768,C19H18O3,95789.73,0.9579,C20H20O5,121302.82,1.2130,C6H6O,41387.58,0.4139,C14H22O,1081371.12,10.8137,C5H4O,20341.72,0.2034,C6H6O,41387.58,0.4139,12.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C7,C9",C9*1+C7*1,"acyl(0.30),hexadienoyl(0.41),tetradecadienoyl(10.81)","acyl,tetradecadienoyl",A1,B1,C2,none,R1,R41,13.3573,A1B1C2,OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(OC(=O)C=CC=CCCCCCCCCC)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00125109,C36H50O10,642.786,Top1,1.0
2,643.3462,13.3,1160000000.0,DA15_wikstroelide A (NSC-1),C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,13,0,D,C36H50O10,possibly known,"yuanhuamine C, std_wikstroelide A (DA15), wikstroelide L, acetoxyhuratoxin",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,121302.8203125 / 60419.0546875,0.5441,C2H4O2,C36H50O10 / C34H46O8,174779.078125 / 3224.241943359375,0.304,none,none,none,none,none,none,none,C17H16O3,60419.05,0.6042,C18H18O2,27683.45,0.2768,C19H18O3,95789.73,0.9579,C20H20O5,121302.82,1.2130,C6H6O,41387.58,0.4139,C14H22O,1081371.12,10.8137,C5H4O,20341.72,0.2034,C6H6O,41387.58,0.4139,12.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C7,C9",C9*1+C7*1,"acyl(0.30),hexadienoyl(0.41),tetradecadienoyl(10.81)","acyl,tetradecadienoyl",A1,B1,C2,none,R1,R41,13.3573,A1B1C2,CCCCCCCCCC=CC=CC(=O)OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00288069,C36H50O10,642.786,Top1,1.0
3,689.2947,9.2,1200000000.0,DA23_daphneodorin E (DOL-J),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,12,0,D,C39H44O11,possibly known,std_daphneodorin E (DA23),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H30O9 / C20H22O6,14000.0 / 17000.0,0.1299,C3H4O2,C20H20O5 / C17H16O3,49000.0 / 25000.0,0.2244,none,none,none,none,none,none,none,none,none,none,none,C17H16O3,25000.0,0.25,C18H16O1,4400.0,0.044,C19H18O3,32000.0,0.32,C20H20O5,49000.00,0.4900,C10H12O,640000.0,6.4,none,none,none,C5H4O,6100.00,0.0610,C6H6O,2900.00,0.0290,18.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C9,C10",C9*1+C10*1,"coumaroyl(0.13),decatrienoyl(6.40)","coumaroyl,decatrienoyl",A1,B1,C2,none,R94,R48,7.1199,A1B1C2,OCC12OC1C1C3OC4(C=CC=CC=CCCC)OC3(C(=C)C)C(OC(=O)C=Cc7ccc(O)cc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00128546,C39H44O11,688.77,Top1,1.0
3,689.2947,9.2,1200000000.0,DA23_daphneodorin E (DOL-J),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,12,0,D,C39H44O11,possibly known,std_daphneodorin E (DA23),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H30O9 / C20H22O6,14000.0 / 17000.0,0.1299,C3H4O2,C20H20O5 / C17H16O3,49000.0 / 25000.0,0.2244,none,none,none,none,none,none,none,none,none,none,none,C17H16O3,25000.0,0.25,C18H16O1,4400.0,0.044,C19H18O3,32000.0,0.32,C20H20O5,49000.00,0.4900,C10H12O,640000.0,6.4,none,none,none,C5H4O,6100.00,0.0610,C6H6O,2900.00,0.0290,18.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C9,C10",C9*1+C10*1,"coumaroyl(0.13),decatrienoyl(6.40)","coumaroyl,decatrienoyl",A1,B1,C2,none,R94,R48,7.1199,A1B1C2,c7cc(O)ccc7C=CC(=O)OCC12OC1C1C3OC4(C=CC=CC=CCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00291506,C39H44O11,688.77,Top1,1.0
4,649.3004,10.8,1660000000.0,DA18_yuanhuacine (DOL-C),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,15,0,D,C37H44O10,possibly known,"isoyuanhuacine, daphne factors P2, hirsein A, altadaphnan B, gnididin, std_yuanhuacine (DA18)",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,100000.0 / 850000.0,1.8418,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,1200000.0 / 850000.0,7.6409,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,79000.0 / 1400000.0,2.654,none,none,none,C17H16O3,850000.0,8.5,C18H18O2,310000.0,3.1,C19H20O4,300000.0,3.0,C20H20O5,1200000.00,12.0000,C10H14O,8700000.0,87.0,C12H16O3,31000.00,0.3100,C5H4O,400000.00,4.0000,C6H6O,700000.00,7.0000,16.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C7,C10",C10*1+C7*1,"benzoyl(2.65),feruloyl(1.84),decadienoyl(87.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.31)","benzoyl,decadienoyl",A1,B1,C2,none,R92,R37,119.8058,A1B1C2,OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(OC(=O)c7ccccc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00127950,C37H44O10,648.749,Top1,1.0
4,649.3004,10.8,1660000000.0,DA18_yuanhuacine (DOL-C),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,15,0,D,C37H44O10,possibly known,"isoyuanhuacine, daphne factors P2, hirsein A, altadaphnan B, gnididin, std_yuanhuacine (DA18)",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,100000.0 / 850000.0,1.8418,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,1200000.0 / 850000.0,7.6409,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,79000.0 / 1400000.0,2.654,none,none,none,C17H16O3,850000.0,8.5,C18H18O2,310000.0,3.1,C19H20O4,300000.0,3.0,C20H20O5,1200000.00,12.0000,C10H14O,8700000.0,87.0,C12H16O3,31000.00,0.3100,C5H4O,400000.00,4.0000,C6H6O,700000.00,7.0000,16.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C7,C10",C10*1+C7*1,"benzoyl(2.65),feruloyl(1.84),decadienoyl(87.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.31)","benzoyl,decadienoyl",A1,B1,C2,none,R92,R37,119.8058,A1B1C2,c7ccccc7C(=O)OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00290910,C37H44O10,648.749,Top1,1.0
5,691.3102,10.0,818000000.0,DA24_daphneodorin D (DOL-H),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,11,0,D,C39H46O11,possibly known,std_daphneodorin D (DA24),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H26O7 / C20H18O4,47000.0 / 2200000.0,3.8524,C3H4O2,C20H20O5 / C17H16O3,1800000.0 / 1200000.0,10.7143,none,none,none,none,none,none,none,none,none,none,none,C17H16O3,1200000.0,12.0,C18H18O2,280000.0,2.8,C19H20O4,330000.0,3.3,C20H20O5,1800000.00,18.0000,C10H14O,9300000.0,93.0,C12H16O3,14000.00,0.1400,C5H4O,490000.00,4.9000,C6H6O,710000.00,7.1000,17.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C9,C10",C9*1+C10*1,"coumaroyl(3.85),decadienoyl(93.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.14)","coumaroyl,decadienoyl",A1,B1,C2,none,R94,R37,132.99239999999998,A1B1C2,OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(OC(=O)C=Cc7ccc(O)cc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00127952,C39H46O11,690.786,Top1,1.0
5,691.3102,10.0,818000000.0,DA24_daphneodorin D (DOL-H),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,11,0,D,C39H46O11,possibly known,std_daphneodorin D (DA24),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H26O7 / C20H18O4,47000.0 / 2200000.0,3.8524,C3H4O2,C20H20O5 / C17H16O3,1800000.0 / 1200000.0,10.7143,none,none,none,none,none,none,none,none,none,none,none,C17H16O3,1200000.0,12.0,C18H18O2,280000.0,2.8,C19H20O4,330000.0,3.3,C20H20O5,1800000.00,18.0000,C10H14O,9300000.0,93.0,C12H16O3,14000.00,0.1400,C5H4O,490000.00,4.9000,C6H6O,710000.00,7.1000,17.0,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C9,C10",C9*1+C10*1,"coumaroyl(3.85),decadienoyl(93.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.14)","coumaroyl,decadienoyl",A1,B1,C2,none,R94,R37,132.99239999999998,A1B1C2,c7cc(O)ccc7C=CC(=O)OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00290912,C39H46O11,690.786,Top1,1.0
