row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C15 ion,C15 ion_intensity,C15 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,Acyl B ion,Acyl B ion_intensity,Acyl B ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C6 ion,C6 ion_intensity,C6 ion_score,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,Total Score,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score,manual verification
51,483.2007,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821,none,none,none,C17H16O2,2099114.75,20.9911,C18H16O1,219086.02,2.1909,C19H18O2,560846.88,5.6085,C20H16O2,67167.46,0.6717,C7H4O,477128.5,4.7713,none,none,none,none,none,none,none,none,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(36.48),feruloyl(3.96),benzoyl(4.77)",benzoyl,A1,B1,C1,none,R92,none,87.1938,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top1,1.000 ,T
51,483.2007,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821,none,none,none,C17H18O3,81407.23,0.8141,C18H18O2,1281015,12.8102,C19H20O4,215922.28,2.1592,C20H16O2,67167.46,0.6717,C7H4O,477128.5,4.7713,none,none,none,none,none,none,none,none,none,13,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(36.48),feruloyl(3.96),benzoyl(4.77)",benzoyl,A2,B1,C2,none,R92,none,59.65,A2B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00008232,C27H32O9,500.544,Top2,0.684 ,F
51,483.2007,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821,none,none,none,C17H18O2,65545.68,0.6555,C18H18O2,1281015,12.8102,C19H18O2,560846.88,5.6085,C20H16O2,67167.46,0.6717,C7H4O,477128.5,4.7713,none,none,none,none,none,none,none,none,none,13,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(36.48),feruloyl(3.96),benzoyl(4.77)",benzoyl,A2,B1,C1,none,R92,none,59.3328,A2B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007752,C27H32O8,484.545,Top3,0.680 ,F
51,483.2007,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821,none,none,none,C17H18O3,81407.23,0.8141,C18H16O1,219086.02,2.1909,C19H20O4,215922.28,2.1592,C20H16O2,67167.46,0.6717,C7H4O,477128.5,4.7713,none,none,none,none,none,none,none,none,none,13,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(36.48),feruloyl(3.96),benzoyl(4.77)",benzoyl,A3,B1,C2,none,R92,none,49.0307,A3B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00008328,C27H32O9,500.544,Top4,0.562 ,F
51,483.2007,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821,none,none,none,C17H18O2,65545.68,0.6555,C18H16O1,219086.02,2.1909,C19H20O3,626735.88,6.2674,C20H16O2,67167.46,0.6717,C7H4O,477128.5,4.7713,none,none,none,none,none,none,none,none,none,13,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(36.48),feruloyl(3.96),benzoyl(4.77)",benzoyl,A3,B1,C1,none,R92,none,48.7135,A3B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00007848,C27H32O8,484.545,Top5,0.559 ,F
11,519.2948,10.2,9.67E+08,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,17,0,D,C29H42O8,possibly known,std_daphnepedunin J (DA02),[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C29H42O8 / C20H24O6,5000000.0 / 630000.0,11.0288,C3H4O2,C20H20O4 / C17H16O2,3500000.0 / 7800000.0,32.0829,none,none,none,none,none,none,none,none,none,none,none,C17H16O2,7800000,78,C18H18O2,4700000,47,C19H18O3,860000,8.6,C20H16O2,270000,2.7,C9H16O,680000,6.8,none,none,none,C5H4O,120000,1.2,none,none,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C9,C9*1,"nonanoyl(11.03),nonanoyl(6.80)",nonanoyl,A1,B1,C1,none,R8,none,173.8288,A1B1C1,OCC12OC1C1C3OC4(CCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007572,C29H42O8,518.647,Top1,1.000 ,T
11,519.2948,10.2,9.67E+08,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,17,0,D,C29H42O8,possibly known,std_daphnepedunin J (DA02),[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C29H42O8 / C20H24O6,5000000.0 / 630000.0,11.0288,C3H4O2,C20H20O4 / C17H16O2,3500000.0 / 7800000.0,32.0829,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,300000,3,C18H18O2,4700000,47,C19H20O3,2300000,23,C20H16O2,270000,2.7,C9H16O,680000,6.8,none,none,none,C5H4O,120000,1.2,none,none,none,9,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C9,C9*1,"nonanoyl(11.03),nonanoyl(6.80)",nonanoyl,A2,B1,C2,none,R8,none,70.8288,A2B1C2,OCC12OC1C1C3OC4(CCCCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00008148,C29H44O9,536.662,Top2,0.407 ,F
11,519.2948,10.2,9.67E+08,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,17,0,D,C29H42O8,possibly known,std_daphnepedunin J (DA02),[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C29H42O8 / C20H24O6,5000000.0 / 630000.0,11.0288,C3H4O2,C20H20O4 / C17H16O2,3500000.0 / 7800000.0,32.0829,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,300000,3,C18H16O1,860000,8.6,C19H20O3,2300000,23,C20H16O2,270000,2.7,C9H16O,680000,6.8,none,none,none,C5H4O,120000,1.2,none,none,none,9,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C9,C9*1,"nonanoyl(11.03),nonanoyl(6.80)",nonanoyl,A3,B1,C2,none,R8,none,32.4288,A3B1C2,OCC12OC1C1C3OC4(CCCCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00008244,C29H44O9,536.662,Top3,0.187 ,F
11,519.2948,10.2,9.67E+08,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,17,0,D,C29H42O8,possibly known,std_daphnepedunin J (DA02),[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C29H42O8 / C20H24O6,5000000.0 / 630000.0,11.0288,C3H4O2,C20H20O4 / C17H16O2,3500000.0 / 7800000.0,32.0829,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,280000,2.8,C18H18O2,4700000,47,C19H18O3,860000,8.6,C20H16O2,270000,2.7,C9H16O,680000,6.8,none,none,none,C5H4O,120000,1.2,none,none,none,9,others,"5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C9,C9*1,"nonanoyl(11.03),nonanoyl(6.80)",nonanoyl,none,B3,C1,none,R8,none,17.8288,none,,,,0,Top4,0.103 ,F
14,529.2795,9.6,2.57E+08,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H40O8,possibly known,std_excoecariatoxin (DA03),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H32O4 / C20H24O6,13000.0 / 160000.0,0.3204,C3H4O2,C20H20O4 / C17H16O2,600000.0 / 1700000.0,5.8778,none,none,none,none,none,none,none,none,none,none,none,C17H16O2,1700000,17,C18H18O2,1100000,11,C19H20O3,380000,3.8,C20H16O2,60000,0.6,C10H14O,2200000,22,C12H16O3,13000,0.13,C5H4O,54000,0.54,C6H6O,150000,1.5,11,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C10,C10*1,"cinnamoyl(0.32),decadienoyl(22.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.13)",decadienoyl,A1,B1,C1,none,R37,none,58.4904,A1B1C1,OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007601,C30H40O8,528.642,Top1,1.000 ,T
