row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
1,615.3149,11.2,1180000000.0,DA13_wikstroelide H (NSC-13),C=C(C)C12OC3(C=CC=CCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,15,0,D,C34H46O10,possibly known,"yuahualine, std_wikstroelide H (DA13), genkwadane D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,600000.0 / 390000.0,3.4755,C2H4O2,C22H22O6 / C20H18O4,64000.0 / 790000.0,1.5813,none,none,none,none
2,643.3462,13.3,1160000000.0,DA15_wikstroelide A (NSC-1),C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,13,0,D,C36H50O10,possibly known,"yuanhuamine C, std_wikstroelide A (DA15), wikstroelide L, acetoxyhuratoxin",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,121302.8203125 / 60419.0546875,0.5441,C2H4O2,C36H50O10 / C34H46O8,174779.078125 / 3224.241943359375,0.304,none,none,none,none
3,689.2947,9.2,1200000000.0,DA23_daphneodorin E (DOL-J),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,12,0,D,C39H44O11,possibly known,std_daphneodorin E (DA23),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H30O9 / C20H22O6,14000.0 / 17000.0,0.1299,C3H4O2,C20H20O5 / C17H16O3,49000.0 / 25000.0,0.2244,none,none,none,none,none,none,none,none
4,649.3004,10.8,1660000000.0,DA18_yuanhuacine (DOL-C),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,15,0,D,C37H44O10,possibly known,"isoyuanhuacine, daphne factors P2, hirsein A, altadaphnan B, gnididin, std_yuanhuacine (DA18)",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,100000.0 / 850000.0,1.8418,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,1200000.0 / 850000.0,7.6409,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,79000.0 / 1400000.0,2.654
5,691.3102,10.0,818000000.0,DA24_daphneodorin D (DOL-H),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,11,0,D,C39H46O11,possibly known,std_daphneodorin D (DA24),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H26O7 / C20H18O4,47000.0 / 2200000.0,3.8524,C3H4O2,C20H20O5 / C17H16O3,1800000.0 / 1200000.0,10.7143,none,none,none,none,none,none,none,none
6,647.2842,9.9,1190000000.0,DA16_yuanhuajine (DOL-A),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,12,0,D,C37H42O10,possibly known,"altadaphnan C, std_yuanhuajine (DA16), daphne factors P1, std_gniditrin (DA17), odoratrin",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,20000.0 / 110000.0,0.2726,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,150000.0 / 110000.0,0.9941,none,none,none,none,C7H6O2,C27H26O7 / C20H20O5,20000.0 / 150000.0,0.336
7,673.3003,10.7,776000000.0,"DA21_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5b,12b-dihydroxyresiniferonol-6a,7a-oxide (DOL-B)",C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccccc1,D,14,0,D,C39H44O10,possibly known,"std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E)-decadienylidyne-5ﾎｲ,12ﾎｲ-dihydroxyresiniferonol-6ﾎｱ,7ﾎｱ-oxide (DA21)",[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H30O8 / C20H22O6,480000.0 / 580000.0,4.4587,C3H4O2,C20H20O5 / C17H16O3,2000000.0 / 1200000.0,10.6667,none,none,none,none,none,none,none,none
9,585.3413,13.7,1520000000.0,DA06_huratoxin (NSC-2),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,13,0,D,C34H48O8,possibly known,std_huratoxin (DA06),[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,380000.0 / 900000.0,3.531,none,none,none,none,none,none,none,none
10,599.3564,14.5,890000000.0,DA09_wikstrotoxin A (NSC-3),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,13,0,D,C35H50O8,possibly known,std_wikstrotoxin A (DA09),[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,670000.0 / 1900000.0,6.5655,none,none,none,none,none,none,none,none
11,519.2948,10.2,967000000.0,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,17,0,D,C29H42O8,possibly known,std_daphnepedunin J (DA02),[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C29H42O8 / C20H24O6,5000000.0 / 630000.0,11.0288,C3H4O2,C20H20O4 / C17H16O2,3500000.0 / 7800000.0,32.0829,none,none,none,none,none,none,none,none
