row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C14 loss,C14 loss_ion_pair,C14 loss_intensity_pair,C14 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C5 loss,C5 loss_ion_pair,C5 loss_intensity_pair,C5 loss_score,C4 loss,C4 loss_ion_pair,C4 loss_intensity_pair,C4 loss_score,C10 ion,C10 ion_intensity,C10 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,C27 ion,C27 ion_intensity,C27 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,R3_id,R4_id,R5_id,R6_id,R7_id,Total Score,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score
8,667.311,10.5,18800000.0,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,24,MD,C37H46O11,possibly known,"std_stelleralide C (DA43), std_daphnepedunin E (DA44)",[M+H]+,"8,64",C10H18O2,C30H34O6 / C20H16O4,19924.5 / 14355.5673828125,0.1294,C14H24O4,C30H36O7 / C16H12O3,31598.240234375 / 8836.0341796875,0.0951,none,none,none,none,C3H4O2,C27H34O5 / C24H30O3,3510.34228515625 / 2517.21142578125,0.0227,none,none,none,none,C7H6O2,C37H46O11 / C30H40O9,19733.826171875 / 53274.33203125,0.1902,C5H10O2,C25H30O4 / C20H20O6,4648.94091796875 / 12507.83984375,0.0448,none,none,none,none,none,none,none,C14H14O3,32534.65,0.3253,C15H22O2,51305.73,0.5131,none,none,none,C17H16O1,7130.85,0.0713,C18H16O2,6227.75,0.0623,C19H18O3,11711.89,0.1171,C20H20O6,12507.84,0.1251,C27H30O3,9525.03,0.0953,C7H4O,23743.68,0.2374,15.0,bicyclo [2.2.1] heptane ring,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,with C-18,others,C10 ring with no substituent,2,"C2,C5",C2*1+C5*1,"benzoyl(0.19),benzoyl(0.24)","acyl,2-methylbutyryl",none,B1,C5,M2,R1,R4,none,none,none,none,none,1.1216,none,,,,0.0,Top1,1.0
8,667.311,10.5,18800000.0,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,24,MD,C37H46O11,possibly known,"std_stelleralide C (DA43), std_daphnepedunin E (DA44)",[M+H]+,"8,64",C10H18O2,C30H34O6 / C20H16O4,19924.5 / 14355.5673828125,0.1294,C14H24O4,C30H36O7 / C16H12O3,31598.240234375 / 8836.0341796875,0.0951,none,none,none,none,C3H4O2,C27H34O5 / C24H30O3,3510.34228515625 / 2517.21142578125,0.0227,none,none,none,none,C7H6O2,C37H46O11 / C30H40O9,19733.826171875 / 53274.33203125,0.1902,C5H10O2,C25H30O4 / C20H20O6,4648.94091796875 / 12507.83984375,0.0448,none,none,none,none,none,none,none,C14H14O3,32534.65,0.3253,C15H22O2,51305.73,0.5131,none,none,none,C17H16O1,7130.85,0.0713,C18H16O2,6227.75,0.0623,C19H18O3,11711.89,0.1171,C20H20O6,12507.84,0.1251,C27H30O3,9525.03,0.0953,C7H4O,23743.68,0.2374,15.0,bicyclo [2.2.1] heptane ring,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,with C-18,others,C10 ring with no substituent,1,C7,C7*1,"benzoyl(0.19),benzoyl(0.24)",benzoyl,none,B1,C5,M2,R92,none,none,none,none,none,none,1.1216,none,,,,0.0,Top1,1.0
17,533.3107,9.2,147000000.0,DA31_pimelea factor S6 (TDPE-6),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,13,17,MD,C30H44O8,possibly known,"std_pimelea factor S7 (DA30), std_pimelea factor S6 (DA31)",[M+H]+,none,C10H18O2,C30H38O5 / C20H20O3,140540.390625 / 14977.23046875,0.2974,C14H24O4,C30H38O5 / C16H14O1,140540.390625 / 6787.68603515625,0.2616,C9H16O2,C29H42O6 / C20H26O4,5753.77978515625 / 3942.66552734375,0.0353,C3H4O2,C30H38O5 / C27H34O3,140540.390625 / 20251.67578125,0.3221,none,none,none,none,C7H6O2,C29H38O5 / C22H32O3,16605.93359375 / 5025.919921875,0.0522,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C16H16O3,4665.15,0.0467,C17H24O3,7205.69,0.0721,C18H16O1,5224.62,0.0522,C19H20O2,9723.5,0.0972,C20H20O3,14977.23,0.1498,C27H34O3,20251.68,0.2025,none,none,none,9.0,1-alkyl-3-one,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C9 ring with no substituent,0,others,,benzoyl(0.05),none,A6,B1,C1,M1,none,none,none,none,none,none,none,0.8340000000000001,A6B1C1M1,OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01121453,C29H42O8,518.647,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H18O2,C30H40O5 / C20H22O3,189649.96875 / 15628.6142578125,0.3808,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with no substituent,2,"C2,C5",C2*1+C5*1,"benzoyl(0.38),benzoyl(0.59)","acyl,2-methylbutyryl",A8,B1,C1,M2,R1,R4,none,none,none,none,none,1.5852,A8B1C1M2,,,,0.0,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H16O2,C30H40O5 / C20H24O3,189649.96875 / 2609.235595703125,0.3263,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with one substituent,1,C7,C7*1,"benzoyl(0.38),benzoyl(0.59)",benzoyl,A8,B1,C1,M3,R92,none,none,none,none,none,none,1.5852,A8B1C1M3,OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(OC(=O)c8ccccc8)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01124481,C37H50O10,654.797,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H16O2,C30H40O5 / C20H24O3,189649.96875 / 2609.235595703125,0.3263,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with one substituent,1,C7,C7*1,"benzoyl(0.38),benzoyl(0.59)",benzoyl,A8,B1,C1,M3,R92,none,none,none,none,none,none,1.5852,A8B1C1M3,c8ccccc8C(=O)OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01130589,C37H50O10,654.797,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H16O2,C30H40O5 / C20H24O3,189649.96875 / 2609.235595703125,0.3263,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with one substituent,2,"C2,C5",C2*1+C5*1,"benzoyl(0.38),benzoyl(0.59)","acyl,2-methylbutyryl",A8,B1,C1,M3,R1,R4,none,none,none,none,none,1.5852,A8B1C1M3,,,,0.0,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H18O2,C30H40O5 / C20H22O3,189649.96875 / 15628.6142578125,0.3808,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with no substituent,1,C7,C7*1,"benzoyl(0.38),benzoyl(0.59)",benzoyl,A8,B1,C1,M2,R92,none,none,none,none,none,none,1.5852,A8B1C1M2,OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(OC(=O)c8ccccc8)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01124479,C37H50O9,638.798,Top1,1.0
18,639.3519,12.5,506000000.0,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H18O2,C30H40O5 / C20H22O3,189649.96875 / 15628.6142578125,0.3808,C14H24O4,C30H40O5 / C16H16O1,189649.96875 / 8650.37890625,0.3509,none,none,none,none,C3H4O2,C30H40O5 / C27H36O3,189649.96875 / 5727.63671875,0.3389,none,none,none,none,C7H6O2,C37H46O7 / C30H40O5,15795.4931640625 / 189649.96875,0.3815,C5H10O2,C25H30O4 / C20H20O2,2593.663818359375 / 23443.609375,0.05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,5639.61,0.0564,C18H18O1,8308.76,0.0831,C19H20O1,22177.38,0.2218,C20H22O3,15628.61,0.1563,C27H36O3,5727.64,0.0573,C7H4O,59484.59,0.5948,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C10 ring with no substituent,1,C7,C7*1,"benzoyl(0.38),benzoyl(0.59)",benzoyl,A8,B1,C1,M2,R92,none,none,none,none,none,none,1.5852,A8B1C1M2,c8ccccc8C(=O)OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01130565,C37H50O9,638.798,Top1,1.0
19,639.3522,13.3,378000000.0,DA39_pimela factor P2 (WLI-d2),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(OC(=O)c7ccccc7)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,24,15,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none,C10H18O2,C30H38O4 / C20H20O2,602879.9375 / 122999.7265625,1.5629,C14H24O2,C30H38O4 / C16H14O2,602879.9375 / 9123.90234375,1.0407,C9H16O2,C29H38O3 / C20H22O1,314356.625 / 9571.1591796875,0.562,C3H4O2,C30H38O4 / C27H34O2,602879.9375 / 31410.271484375,1.1319,C2H4O2,C22H28O2 / C20H24O4,8495.1396484375 / 10623.0966796875,0.0782,C7H6O2,C37H50O9 / C30H44O7,835405.1875 / 33936.33203125,1.5285,C5H10O2,C25H30O3 / C20H20O1,10175.7568359375 / 10566.5751953125,0.0999,C4H8O2,C24H30O3 / C20H22O1,10781.35546875 / 9571.1591796875,0.0909,none,none,none,C14H14O3,8983.11,0.0898,none,none,none,none,none,none,C17H24O3,28872.13,0.2887,C18H18O1,37025.91,0.3703,C19H20O1,71659.16,0.7166,C20H22O3,64315.93,0.6432,C27H36O3,45772.23,0.4577,C7H4O,310731.25,3.1073,13.0,1-alkyl-3-ol,"5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,C14 ring with an olenfinic,0,others,,"acyl(0.08),benzoyl(1.53),benzoyl(3.11)",none,A8,B1,C1,M7,none,none,none,none,none,none,none,8.2762,A8B1C1M7,OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5,PD01121479,C34H52O8,588.782,Top1,1.0
