row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
8,667.3109741,10.5,18800000,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,24,MD,C37H46O11,possibly known,"std_stelleralide C (DA43), std_daphnepedunin E (DA44)",[M+H]+,none
17,533.3107147,9.2,147000000,DA31_pimelea factor S6 (TDPE-6),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,13,17,MD,C30H44O8,possibly known,"std_pimelea factor S7 (DA30), std_pimelea factor S6 (DA31)",[M+H]+,none
18,639.3519135,12.5,506000000,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD,12,10,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none
19,639.3522186,13.3,378000000,DA39_pimela factor P2 (WLI-d2),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(OC(=O)c7ccccc7)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,24,15,MD,C37H50O9,possibly known,"std_wikstromacrin (DA38), std_pimela factor P2 (DA39)",[M+H]+,none
20,1011.399323,8.2,785000000,DA57_daphneodorin B (DOSO-E),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,41,14,MD,C55H62O18,possibly known,"std_daphneodorin C (DA58), std_daphneodorin B (DA57)",[M+H]+,none
21,1011.39888,7.6,825000000,DA58_daphneodorin C (DOL-E2),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,24,13,MD,C55H62O18,possibly known,"std_daphneodorin C (DA58), std_daphneodorin B (DA57)",[M+H]+,none
25,549.3056641,5.6,652000000,DA35_daphnepedunin A (TDPE-17),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD,12,24,MD,C30H44O9,possibly known,"std_daphnepedunin A (DA35), std_daphnepedunin H (DA37), std_daphnepedunin B (DA34), std_daphnepedunin G (DA36)",[M+H]+,none
26,775.3684082,10.2,34600000,DA51_gnidimacrin (DOSO-B),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,24,17,MD,C44H54O12,possibly known,"std_stelleralide H (DA50), std_gnidimacrin (DA51)",[M+H]+,none
27,775.3675232,9.6,83000000,DA50_stelleralide H (WLI-j),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,28,24,MD,C44H54O12,possibly known,"std_stelleralide H (DA50), std_gnidimacrin (DA51)",[M+H]+,none
31,549.3059387,6,32700000,DA34_daphnepedunin B (TDPE-27),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD,17,20,MD,C30H44O9,possibly known,"std_daphnepedunin A (DA35), std_daphnepedunin H (DA37), std_daphnepedunin B (DA34), std_daphnepedunin G (DA36)",[M+H]+,none
32,653.3320313,10.5,18800000,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,17,16,MD,C37H48O10,possibly known,std_wikstroelide F (DA41),[M+H]+,none
33,519.2951965,8.4,1590000000,DA29_daphnepedunin C (TDPE-32),C=C(C)C12CC(C)C34OC5(CCCCCCCCC6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,0,17,MD,C29H42O8,possibly known,std_daphnepedunin C (DA29),[M+H]+,none
34,547.289856,8.3,24000000,DA33_pimelotide C (TDPE-4),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,10,26,MD,C30H42O9,possibly known,"std_pimelotide C (DA33), std_pimelotide A (DA32)",[M+H]+,none
35,895.3883972,10.2,8466765.443,DA55_stelleralide G (WIS-12),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,13,23,MD,C51H58O14,possibly known,std_stelleralide G (DA55),[M+H]+,none
36,669.3265381,5.5,1560000000,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,32,20,MD,C37H48O11,possibly known,std_daphnepedunin D (DA45),[M+H]+,none
