row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,Unnamed: 7,D Score,MD Score,type
1,615.3149109,11.17,1180000000,DA13_wikstroelide H (NSC-13),C=C(C)C12OC3(C=CC=CCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,,15,0,D
2,643.3462219,13.31,1160000000,DA15_wikstroelide A (NSC-1),C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D,,13,0,D
3,689.2946777,9.18,1200000000,DA23_daphneodorin E (DOL-J),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,,12,0,D
4,649.300354,10.83,1660000000,DA18_yuanhuacine (DOL-C),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,,15,0,D
5,691.3101807,9.97,818000000,DA24_daphneodorin D (DOL-H),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D,,11,0,D
6,647.2842407,9.94,1190000000,DA16_yuanhuajine (DOL-A),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,,12,0,D
7,673.300293,10.7,776000000,"DA21_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5b,12b-dihydroxyresiniferonol-6a,7a-oxide (DOL-B)",C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccccc1,D,,14,0,D
8,667.3109741,10.46,18800000,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,8,24,MD
9,585.3413391,13.73,1520000000,DA06_huratoxin (NSC-2),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,,13,0,D
10,599.3563843,14.52,890000000,DA09_wikstrotoxin A (NSC-3),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,,13,0,D
