row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type
1,615.3149109,11.17,1.18E+09,DA13_wikstroelide H (NSC-13),C=C(C)C12OC3(C=CC=CCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D
2,643.3462219,13.31,1.16E+09,DA15_wikstroelide A (NSC-1),C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,D
3,689.2946777,9.18,1.20E+09,DA23_daphneodorin E (DOL-J),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D
4,649.300354,10.83,1.66E+09,DA18_yuanhuacine (DOL-C),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D
5,691.3101807,9.97,8.18E+08,DA24_daphneodorin D (DOL-H),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)cc1,D
6,647.2842407,9.94,1.19E+09,DA16_yuanhuajine (DOL-A),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D
7,673.300293,10.7,7.76E+08,"DA21_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5b,12b-dihydroxyresiniferonol-6a,7a-oxide (DOL-B)",C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccccc1,D
8,667.3109741,10.46,1.88E+07,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
9,585.3413391,13.73,1.52E+09,DA06_huratoxin (NSC-2),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
10,599.3563843,14.52,8.90E+08,DA09_wikstrotoxin A (NSC-3),C=C(C)C12CC(C)C34OC(C=CC=CCCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
11,519.2947693,10.15,9.67E+08,DA02_daphnepedunin J (TDPE-19),C=C(C)C12CC(C)C34OC(CCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
12,585.3414,8.72,9.56E+07,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D
13,633.3262329,7.43,5.92E+07,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D
14,529.27948,9.55,2.57E+08,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
15,533.3103638,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
16,719.3053284,9.01,7.23E+08,DA26_acutilobin C (DOL-K),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)c(OC)c1,D
17,533.3107147,9.21,1.47E+08,DA31_pimelea factor S6 (TDPE-6),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
18,639.3519135,12.49,5.06E+08,DA38_wikstromacrin (WLI-b),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(O)C(O)(C(O)C7(COC(=O)c8ccccc8)OC7C3C1O5)C64)O2,MD
19,639.3522186,13.3,3.78E+08,DA39_pimela factor P2 (WLI-d2),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(OC(=O)c7ccccc7)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
20,1011.399323,8.17,7.85E+08,DA57_daphneodorin B (DOSO-E),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD
21,1011.39888,7.63,8.25E+08,DA58_daphneodorin C (DOL-E2),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD
22,675.3155518,11.47,1.06E+09,"DA22_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E)-decadienylidyne-5b,12b-dihydroxyresiniferonol-6α,7α-oxide (DOSO-M)",C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccccc1,D
23,647.2842712,9.59,1.48E+09,DA17_gniditrin (DOSO-N),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=CC=CCCC,D
24,721.3204651,9.77,6.52E+08,DA27_acutilobin D (DOL-I),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)c(OC)c1,D
25,549.3056641,5.58,6.52E+08,DA35_daphnepedunin A (TDPE-17),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD
26,775.3684082,10.24,3.46E+07,DA51_gnidimacrin (DOSO-B),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CCCCCCC5O)C14)O2,MD
27,775.3675232,9.57,8.30E+07,DA50_stelleralide H (WLI-j),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CCCCCCC5O)C14)O2,MD
28,693.3251953,7.99,5.03E+08,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D
29,653.3314209,9.15,2.11E+09,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D
30,737.3158569,5.4,1.24E+08,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D
31,549.3059387,5.98,3.27E+07,DA34_daphnepedunin B (TDPE-27),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD
32,653.3320313,10.48,1.88E+07,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
33,519.2951965,8.36,1.59E+09,DA29_daphnepedunin C (TDPE-32),C=C(C)C12CC(C)C34OC5(CCCCCCCCC6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
34,547.289856,8.32,2.40E+07,DA33_pimelotide C (TDPE-4),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
35,895.3883972,10.15,8466765.443,DA55_stelleralide G (WIS-12),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD
36,669.3265381,5.51,1.56E+09,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
37,731.3989868,11.04,2.34E+09,DA47_edgeworthianin E (ECH-2),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(COC(=O)C(C)C)C2OC(C)=O)C56,MD
38,659.3412933,10.92,2.29E+09,DA42_edgeworthianin A (ECH-3),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(C)C2OC(C)=O,MD
39,953.394165,8.95,2.38E+08,DA56_daphneodorin A (DOSO-K),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)CCCC5O)C14)O2,MD
40,787.331604,10.94,1.65E+07,DA53_daphnepedunin F (TDPE-39),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(OC(=O)c6ccccc6)CC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
41,667.3114014,10.68,8148135.142,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
42,645.3621521,10.85,1.31E+09,DA40_edgeworthianin D (ECH-1),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(C)C2OC(C)=O)C56,MD
43,549.3053894,5.39,3.29E+07,DA36_daphnepedunin G (TDPE-41),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD
44,745.37937,11.65,1.13E+09,DA48_edgeworthianin B (ECH-4),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2OC(C)=O,MD
45,547.2891235,9.31,7.01E+08,DA32_pimelotide A (NSC-7),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
46,779.3619995,12.13,7.60E+08,DA52_edgeworthianin C (ECH-5),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)c1ccccc1)C2OC(C)=O,MD
47,703.3681641,10.24,8.90E+07,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD
48,759.394165,12.31,1.36E+08,DA49_edgeworthianin G (ECH-6),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)CC)C2OC(C)=O,MD
49,533.3104858,9.22,1.47E+08,DA30_pimelea factor S7 (TDPE-5),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
50,549.3053894,5.42,3.29E+07,DA37_daphnepedunin H (TDPE-42),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD
51,483.2007141,4.5,2.81E+09,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
52,603.2209473,6.68,2.26E+09,DA10_genkwadaphnin (DPSft-21),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D
53,609.2678223,8.32,5.38E+09,DA12_genkwanine H (DPSft-2),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C(O)C(O)(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D
54,655.2536621,8.64,4.36E+09,DA20_mezereine (DPSft-16),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,D
55,833.3741455,7.98,1.05E+08,DA54_stelleralide F (DPSft-11),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD
56,591.2587585,8.39,4.03E+09,DA08_genkwanine M (DPSft12),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D
57,547.3265991,12.7,2.88E+09,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D
58,591.2589569,8.75,2.06E+08,DA07_genkwanine N (Dpsft15),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)CC14)O2,D
59,603.3528,8.72,68400639.45,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D
60,615.3154,7.43,40637896.57,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D
61,635.3198,9.15,474013707.4,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D
62,719.3047,5.4,431219695,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D
63,531.2954,10.46,3.90E+05,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
64,545.2744,10.5,4.50E+05,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
65,545.2741,10.68,8.60E+06,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD
66,547.2899,5.51,2.80E+06,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD
67,615.3157,10.24,4.80E+06,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD
68,643.3461,11.04,1.50E+07,DA47_edgeworthianin E (ECH-2),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(COC(=O)C(C)C)C2OC(C)=O)C56,MD
