row ID,row m/z,row retention time,68.ECS6.raw Peak area,5.NSC13.raw Peak area,4.NSC1.raw Peak area,1.DOSSL.raw Peak area,3.DOLJ.raw Peak area,2.DOLH.raw Peak area,6.DOLA.raw Peak area,7.DOLB.raw Peak area,17.TDPE19.raw Peak area,15.NSC2.raw Peak area,18.NSC5.raw Peak area,14.WSCn.raw Peak area,13.WLIk.raw Peak area,8.DOLC.raw Peak area,12.DOSOM.raw Peak area,10.DOLK.raw Peak area,23.Wlichi7.raw Peak area,16.NSC3.raw Peak area,21.NSC8.raw Peak area,24.WLIb.raw Peak area,25.WLId2.raw Peak area,26.WLIj.raw Peak area,11.DOSON.raw Peak area,9.DOLI.raw Peak area,31.TDPE5.raw Peak area,32.TDPE6.raw Peak area,33.TDPE20.raw Peak area,34.TDPE27.raw Peak area,28.DOLE2.raw Peak area,29.DOSOE.raw Peak area,20.DOSOQ.raw Peak area,19.DOLU.raw Peak area,38.WIS12.raw Peak area,37.TDPE32.raw Peak area,36.TDPE11.raw Peak area,39.ECH1.raw Peak area,35.TDPE17.raw Peak area,30.DOSOK.raw Peak area,27.GM.raw Peak area,22.DOSOH.raw Peak area,45.TDPE4.raw Peak area,46.TDPE29.raw Peak area,44.NSC7.raw Peak area,49.TDPE41.raw Peak area,40.ECH2.raw Peak area,41.ECH3.raw Peak area,42.ECH4.raw Peak area,47.TDPE28.raw Peak area,53.TDPE8.raw Peak area,50.TDPE42.raw Peak area,43.ECH5.raw Peak area,48.TDPE39.raw Peak area,56.WLAp.raw Peak area,52.WLAn.raw Peak area,58.WSCb.raw Peak area,51.WLAd.raw Peak area,63.Wlichi3.raw Peak area,62.Wlichi2.raw Peak area,61.Wlichi1.raw Peak area,59.WSCe.raw Peak area,60.WSCL1.raw Peak area,55.WLAh.raw Peak area,54.WLAa.raw Peak area,57.WLAr.raw Peak area,66.Wlichi6.raw Peak area,65.Wlichi5.raw Peak area,64.Wlichi4.raw Peak area,67.ECF7.raw Peak area,
1,535.3264770507812,9.2328966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.248503544529847E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,487.26829528808594,9.7494484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.347126114429187E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,487.268315633138,10.004682666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7449692236936245E7,0,0,9046285.546471564,0,0,0,1.724708624191478E8,0,0,0,0,0,0,0,0,
4,489.2843475341797,8.53055275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434000.5196519585,0,0,0,0,0,0,0,0,3.379244440471256E8,0,0,0,0,0,0,
5,489.2838439941406,7.8421207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285342.047200707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,471.27386474609375,9.041338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.770968231247818E8,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,489.28440856933594,7.9675992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.374622000302304E7,0,0,0,0,0,0,0,0,0,0,0,0,
8,517.3156127929688,11.266808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.881401240438001E7,0,0,0,0,0,0,0,0,0,0,0,
9,515.2998046875,10.28318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241399318726683E7,0,0,0,0,0,0,0,0,0,0,
10,499.30513763427734,10.866654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4.5671687492328234E7,0,0,
