no.,R parts,Acyl SMILES,Acyl Formula,MW,Identification
1,R1,CC(=O)*,C2H2O,42.01001612,acyl
2,R2,CCC(=O)*,C3H4O,56.02566618,propionoyl
3,R3,CCCC(=O)*,C4H6O,70.04131625,butanoyl/isobutyryl
4,R4,CCCCC(=O)*,C5H8O,84.05696631,pentanoyl/2-methylbutyryl
5,R5,CCCCCC(=O)*,C6H10O,98.07261637,hexanoyl
6,R6,CCCCCCC(=O)*,C7H12O,112.0882664,heptanoyl
7,R7,CCCCCCCC(=O)*,C8H14O,126.1039165,octanoyl
8,R8,CCCCCCCCC(=O)*,C9H16O,140.1195666,nonanoyl
9,R9,CCCCCCCCCC(=O)*,C10H18O,154.1352166,decanoyl
10,R10,CCCCCCCCCCC(=O)*,C11H20O,168.1508667,undecanoyl
11,R11,CCCCCCCCCCCC(=O)*,C12H22O,182.1665168,dodecanoyl
12,R12,CCCCCCCCCCCCC(=O)*,C13H24O,196.1821668,tridecanoyl
13,R13,CCCCCCCCCCCCCC(=O)*,C14H26O,210.1978169,tetradecanoyl
14,R14,CCCCCCCCCCCCCCC(=O)*,C15H28O,224.213467,pentadecanoyl
15,R15,CCCCCCCCCCCCCCCC(=O)*,C16H30O,238.229117,hexadecanoyl
16,R16,CCCCCCCCCCCCCCCCC(=O)*,C17H32O,252.2447671,heptadecanoyl
17,R17,CCCCCCCCCCCCCCCCCC(=O)*,C18H34O,266.2604171,octadecanoyl
18,R18,CC=CC(=O)*,C4H4O,68.02566618,butenoyl
19,R19,CCC=CC(=O)*,C5H6O,82.04131625,pentenoyl
20,R20,CCCC=CC(=O)*,C6H8O,96.05696631,hexenoyl
21,R21,CCCCC=CC(=O)*,C7H10O,110.0726164,heptenoyl
22,R22,CCCCCC=CC(=O)*,C8H12O,124.0882664,octenoyl
23,R23,CCCCCCC=CC(=O)*,C9H14O,138.1039165,nonenoyl
24,R24,CCCCCCCC=CC(=O)*,C10H16O,152.1195666,decenoyl
25,R25,CCCCCCCCC=CC(=O)*,C11H18O,166.1352166,undecenoyl
26,R26,CCCCCCCCCC=CC(=O)*,C12H20O,180.1508667,dodecenoyl
27,R27,CCCCCCCCCCC=CC(=O)*,C13H22O,194.1665168,tridecenoyl
28,R28,CCCCCCCCCCCC=CC(=O)*,C14H24O,208.1821668,tetradecenoyl
29,R29,CCCCCCCCCCCCC=CC(=O)*,C15H26O,222.1978169,pentadecenoyl
30,R30,CCCCCCCCCCCCCC=CC(=O)*,C16H28O,236.213467,hexadecenoyl
31,R31,CCCCCCCCCCCCCCC=CC(=O)*,C17H30O,250.229117,heptadecenoyl
32,R32,CCCCCCCCCCCCCCCC=CC(=O)*,C18H32O,264.2447671,octadecenoyl
33,R33,CC=CC=CC(=O)*,C6H6O,94.04131625,hexadienoyl
34,R34,CCC=CC=CC(=O)*,C7H8O,108.0569663,heptadienoyl
35,R35,CCCC=CC=CC(=O)*,C8H10O,122.0726164,octadienoyl
36,R36,CCCCC=CC=CC(=O)*,C9H12O,136.0882664,nonadienoyl
37,R37,CCCCCC=CC=CC(=O)*,C10H14O,150.1039165,decadienoyl
38,R38,CCCCCCC=CC=CC(=O)*,C11H16O,164.1195666,undecadienoyl
39,R39,CCCCCCCC=CC=CC(=O)*,C12H18O,178.1352166,dodecadienoyl
40,R40,CCCCCCCCC=CC=CC(=O)*,C13H20O,192.1508667,tridecadienoyl
41,R41,CCCCCCCCCC=CC=CC(=O)*,C14H22O,206.1665168,tetradecadienoyl
42,R42,CCCCCCCCCCC=CC=CC(=O)*,C15H24O,220.1821668,pentadecadienoyl
43,R43,CCCCCCCCCCCC=CC=CC(=O)*,C16H26O,234.1978169,hexadecadienoyl
44,R44,CCCCCCCCCCCCC=CC=CC(=O)*,C17H28O,248.213467,heptadecadienoyl
45,R45,CCCCCCCCCCCCCC=CC=CC(=O)*,C18H30O,262.229117,octadecadienoyl
46,R46,CC=CC=CC=CC(=O)*,C8H8O,120.0569663,octatrienoyl
47,R47,CCC=CC=CC=CC(=O)*,C9H10O,134.0726164,nonatrienoyl
48,R48,CCCC=CC=CC=CC(=O)*,C10H12O,148.0882664,decatrienoyl
49,R49,CCCCC=CC=CC=CC(=O)*,C11H14O,162.1039165,undecatrienoyl
50,R50,CCCCCC=CC=CC=CC(=O)*,C12H16O,176.1195666,dodecatrienoyl
51,R51,CCCCCCC=CC=CC=CC(=O)*,C13H18O,190.1352166,tridecatrienoyl
52,R52,CCCCCCCC=CC=CC=CC(=O)*,C14H20O,204.1508667,tetradecatrienoyl
53,R53,CCCCCCCCC=CC=CC=CC(=O)*,C15H22O,218.1665168,pentadecatrienoyl
54,R54,CCCCCCCCCC=CC=CC=CC(=O)*,C16H24O,232.1821668,hexadecatrienoyl
55,R55,CCCCCCCCCCC=CC=CC=CC(=O)*,C17H26O,246.1978169,heptadecatrienoyl
56,R56,CCCCCCCCCCCC=CC=CC=CC(=O)*,C18H28O,260.213467,octadecatrienoyl
57,R57,CC6OC6C=CC=CC(=O)*,C8H8O2,136.0518809,6-7-epoxy-2-4-octadienoyl
58,R58,CCC6OC6C=CC=CC(=O)*,C9H10O2,150.067531,6-7-epoxy-2-4-nonadienoyl
59,R59,CCCC6OC6C=CC=CC(=O)*,C10H12O2,164.0831811,6-7-epoxy-2-4-decadienoyl
60,R60,CCCCC6OC6C=CC=CC(=O)*,C11H14O2,178.0988311,6-7-epoxy-2-4-undecadienoyl
61,R61,CC6OC6C=CC=CC=CC(=O)*,C10H10O2,162.067531,8-9-epoxy-2-4-6-decatrienoyl
62,R62,CCC6OC6C=CC=CC=CC(=O)*,C11H12O2,176.0831811,8-9-epoxy-2-4-6-undecatrienoyl
63,R63,CC(OC)C=CC=CC(=O)*,C8H10O2,138.067531,6-methoxy-2-4-octadienoyl
64,R64,CCC(OC)C=CC=CC(=O)*,C9H12O2,152.0831811,6-methoxy-2-4-nonadienoyl
65,R65,CCCC(OC)C=CC=CC(=O)*,C10H14O2,166.0988311,6-methoxy-2-4-decadienoyl
66,R66,CC(OC)C=CC=CC=CC(=O)*,C10H12O2,164.0831811,8-methoxy-2-4-6-decatrienoyl
67,R67,CC(OC)C(OC)C=CC=CC(=O)*,C10H14O3,182.0937457,8-9-dimethoxy-2-4-decadienoyl
68,R68,CC(O)C=CC=CC(=O)*,C7H8O2,124.0518809,6-hydroxy-2-4-heptadienoyl
69,R69,CCC(O)C=CC=CC(=O)*,C8H10O2,138.067531,6-hydroxy-2-4-octadienoyl
70,R70,CCCC(O)C=CC=CC(=O)*,C9H12O2,152.0831811,6-hydroxy-2-4-nonadienoyl
71,R71,CC(O)C=CC=CC=CC(=O)*,C9H10O2,150.067531,8-hydroxy-2-4-6-nonatrienoyl
72,R72,CC(O)C(O)C=CC=CC(=O)*,C8H10O3,154.0624456,6-7-dihydroxy-2-4-octadienoyl
73,R73,CC(O)C(OC)C=CC=CC(=O)*,C9H12O3,168.0780957,6-methoxy-7-hydroxy-2-4-nonadienoyl
74,R74,CCC(O)C(OC)C=CC=CC(=O)*,C10H14O3,182.0937457,6-methoxy-7-hydroxy-2-4-decadienoyl
75,R75,CCCC(O)C(OC)C=CC=CC(=O)*,C11H16O3,196.1093958,6-methoxy-7-hydroxy-2-4-undecadienoyl
76,R76,CCCCC(O)C(OC)C=CC=CC(=O)*,C12H18O3,210.1250459,6-methoxy-7-hydroxy-2-4-dodecadienoyl
77,R77,CC(O)C(OC)C=CC=CC=CC(=O)*,C11H14O3,194.0937457,8-methoxy-9-hydroxy-2-4-6-undecatrienoyl
78,R78,CCC(O)C(OC)C=CC=CC=CC(=O)*,C12H16O3,208.1093958,8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl
79,R79,CC(=O)C=CC=CC(=O)*,C6H6O,94.04131625,4-oxo-2-hexenoyl
80,R80,CCC(=O)C=CC=CC(=O)*,C7H8O,108.0569663,4-oxo-2-heptenoyl
81,R81,CCCC(=O)C=CC=CC(=O)*,C8H10O,122.0726164,4-oxo-2-octenoyl
82,R82,CCCCC(=O)C=CC=CC(=O)*,C9H12O,136.0882664,4-oxo-2-nonenoyl
83,R83,CCCCCC(=O)C=CC=CC(=O)*,C10H14O,150.1039165,4-oxo-2-decenoyl
84,R84,CCCCCCC(=O)C=CC=CC(=O)*,C11H16O,164.1195666,4-oxo-2-undecenoyl
85,R85,CCCCCCCC(=O)C=CC=CC(=O)*,C12H18O,178.1352166,4-oxo-2-dodecenoyl
86,R86,CCCCCCCCC(=O)C=CC=CC(=O)*,C13H20O,192.1508667,4-oxo-2-tridecenoyl
87,R87,CCCCCCCCCC(=O)C=CC=CC(=O)*,C14H22O,206.1665168,4-oxo-2-tetradecenoyl
88,R88,CCCCCCCCCCC(=O)C=CC=CC(=O)*,C15H24O,220.1821668,4-oxo-2-pentadecenoyl
89,R89,CCCCCCCCCCCC(=O)C=CC=CC(=O)*,C16H26O,234.1978169,4-oxo-2-hexadecenoyl
90,R90,CCCCCCCCCCCCC(=O)C=CC=CC(=O)*,C17H28O,248.213467,4-oxo-2-heptadecenoyl
91,R91,CCCCCCCCCCCCCC(=O)C=CC=CC(=O)*,C18H30O,262.229117,4-oxo-2-octadecenoyl
92,R92,c6ccccc6C(=O)*,C7H4O,104.0256662,benzoyl
93,R93,c6ccccc6C=CC(=O)*,C9H6O,130.0413162,cinnamoyl
94,R94,c6cc(O)ccc6C=CC(=O)*,C9H6O2,146.0362309,coumaroyl
95,R95,c6cc(O)c(OC)cc6C=CC(=O)*,C10H8O3,176.0467955,feruloyl
96,R96,c6ccccc6C=CC=CC(=O)*,C11H8O,156.0569663,5-pheny-2-4-pentadienoyl
