No.,Compound Name,Std-Rt,Type,M,M+NH3,M+CH3NH2
1,resiniferonol,none,D,C20H28O6,C20H31O6N1,C21H33O6N
2,daphneresiniferin A,none,D,C24H30O8,C24H33O8N1,C25H35O8N
3,daphnegen B,none,D,C24H30O10,C24H33O10N1,C25H35O10N
4,3-hydrogenkwadaphin,none,D,C34H36O10,C34H39O10N1,C35H41O10N
4,daphnediterp A,none,D,C25H36O9,C25H39O9N1,C26H41O9N
5,(DA01)std_daphnetoxin,4.5,D,C27H30O8,C27H33O8N1,C28H35O8N
6,daphne factor F4,none,D,C27H32O8,C27H35O8N1,C28H37O8N
7,orthobenzoate 2,none,D,C27H34O8,C27H37O8N1,C28H39O8N
8,12-OH-daphnetoxin,none,D,C27H30O9,C27H33O9N1,C28H35O9N
9,daphnegiraldigin,none,D,C27H32O9,C27H35O9N1,C28H37O9N
10,"1,2α-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate",none,D,C27H34O9,C27H37O9N1,C28H39O9N
11,"1,2β-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate",none,D,C27H34O9,C27H37O9N1,C28H39O9N
12,genkwanine O,none,D,C27H36O9,C27H39O9N1,C28H41O9N
13,neogenkwanine A,none,D,C27H36O9,C27H39O9N1,C28H41O9N
14,neogenkwanine B,none,D,C27H36O9,C27H39O9N1,C28H41O9N
15,neogenkwanine H,none,D,C27H36O9,C27H39O9N1,C28H41O9N
16,genkwanine A,none,D,C27H36O9,C27H39O9N1,C28H41O9N
17,neogenkwanine I,none,D,C27H36O9,C27H39O9N1,C28H41O9N
18,daphneresiniferin B,none,D,C29H32O8,C29H35O8N1,C30H37O8N
19,genkwadane F,none,D,C27H32O10,C27H35O10N1,C28H37O10N
20,genkwanine I,none,D,C27H38O10,C27H41O10N1,C28H43O10N
21,yuahuagine (yuanhuagin),none,D,C30H38O8,C30H41O8N1,C31H43O8N
22,excoecaria factor O1,none,D,C30H38O8,C30H41O8N1,C31H43O8N
23,yuanhuakine E,none,D,C29H32O10,C29H35O10N1,C30H37O10N
24,yuanhuafine,none,D,C29H32O10,C29H35O10N1,C30H37O10N
25,yuanhuaoate F,none,D,C29H32O10,C29H35O10N1,C30H37O10N
26,yuanhuapine,none,D,C29H34O10,C29H37O10N1,C30H39O10N
27,vesiculosin,none,D,C30H42O9,C30H45O9N1,C31H47O9N
28,isovesiculosin,none,D,C30H42O9,C30H45O9N1,C31H47O9N
29,yuanhuakine C,none,D,C30H46O9,C30H49O9N1,C31H51O9N
30,yuanhuaoate A,none,D,C30H34O10,C30H37O10N1,C31H39O10N
31,yuanhuakine F,none,D,C30H36O10,C30H39O10N1,C31H41O10N
32,wikstrotoxin B,none,D,C32H44O8,C32H47O8N1,C33H49O8N
33,genkwanine L,none,D,C29H36O11,C29H39O11N1,C30H41O11N
34,daphgenkin F,none,D,C31H36O10,C31H39O10N1,C32H41O10N
35,kirkinine D,none,D,C32H40O10,C32H43O10N1,C33H45O10N
36,"yuanhuadine (yuanhuadin, synaptolepis factor K4)",none,D,C32H42O10,C32H45O10N1,C33H47O10N
37,isoyuanhuadine (isoyuanhuadin),none,D,C32H42O10,C32H45O10N1,C33H47O10N
38,yuanhuamine A,none,D,C32H42O10,C32H45O10N1,C33H47O10N
39,"5β-hydroxyresiniferonol-6α,7α-epoxy-12β-acetoxy-9,13,14-ortho-2E-decenoate",none,D,C32H44O10,C32H47O10N1,C33H49O10N
40,yuanhuaoate C,none,D,C31H42O11,C31H45O11N1,C32H47O11N
41,(DA08)std_genkwanine M,8.75,D,C34H38O9,C34H41O9N1,C35H43O9N
42,(DA07)std_genkwanine N,8.38,D,C34H38O9,C34H41O9N1,C35H43O9N
43,yuanhuahine,none,D,C33H44O10,C33H47O10N1,C34H49O10N
44,(DA10)std_genkwadaphnin,6.68,D,C34H34O10,C34H37O10N1,C35H39O10N
45,tianchaterpene A,none,D,C32H44O11,C32H47O11N1,C33H49O11N
46,yuanhuatine (yuanhuatin),none,D,C34H36O10,C34H39O10N1,C35H41O10N
47,genkwadane I,none,D,C32H44O11,C32H47O11N1,C33H49O11N
48,genkwanine VIII,none,D,C34H40O10,C34H43O10N1,C35H45O10N
49,yuanhuakine D,none,D,C34H40O10,C34H43O10N1,C35H45O10N
50,genkwanine D,none,D,C34H40O10,C34H43O10N1,C35H45O10N
51,"5β-Hydroxyresiniferonol-6α,7α-epoxy- 9,13,14-ortho-2E-hexadecenoate",none,D,C36H54O8,C36H57O8N1,C37H59O8N
52,genkwadane D,none,D,C34H46O10,C34H49O10N1,C35H51O10N
53,yuahualine,none,D,C34H46O10,C34H49O10N1,C35H51O10N
54,stelleralide I,none,D,C35H50O9,C35H53O9N1,C36H55O9N
55,acutilonine G,none,D,C36H40O9,C36H43O9N1,C37H45O9N
56,wikstroelide N,none,D,C35H52O9,C35H55O9N1,C36H57O9N
57,14'-ethyltetrahydrohuratoxin,none,D,C36H56O8,C36H59O8N1,C37H61O8N
58,tanguticanine A,none,D,C35H40O10,C35H43O10N1,C36H45O10N
59,stelleralide J,none,D,C34H52O10,C34H55O10N1,C35H57O10N
60,yuanhuaoate B,none,D,C34H36O11,C34H39O11N1,C35H41O11N
61,genkwadane A,none,D,C34H36O11,C34H39O11N1,C35H41O11N
62,genkwanine K,none,D,C34H42O11,C34H45O11N1,C35H47O11N
63,yuanhuakine G,none,D,C35H46O10,C35H49O10N1,C36H51O10N
64,gnidicin,none,D,C36H36O10,C36H39O10N1,C37H41O10N
65,yuanhuamine B,none,D,C35H48O10,C35H51O10N1,C36H53O10N
66,altadaphnan A,none,D,C36H38O10,C36H41O10N1,C37H43O10N
67,acutilonine F,none,D,C37H46O9,C37H49O9N1,C38H51O9N
68,wikstroemia factor M1/M2,none,D,C37H48O9,C37H51O9N1,C38H53O9N
69,wikstroelide L,none,D,C36H50O10,C36H53O10N1,C37H55O10N
70,acetoxyhuratoxin,none,D,C36H50O10,C36H53O10N1,C37H55O10N
71,yuanhuamine C,none,D,C36H50O10,C36H53O10N1,C37H55O10N
73,altadaphnan C,none,D,C37H42O10,C37H45O10N1,C38H47O10N
74,odoratrin,none,D,C37H42O10,C37H45O10N1,C38H47O10N
