row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area,Aco Score,type
62,424.2682219,2.5800896,544449.2,3,Aco
73,454.2791803,2.866841,279215.38,3,Aco
80,454.2791117,2.9943447,88149.4,3,Aco
97,438.2840237,3.3222387,110365.625,3,Aco
107,454.278978,3.6165698,1001978.25,5,Aco
117,438.2840876,3.8411508,767566.94,6,Aco
134,452.3000087,4.338102,155587.14,3,Aco
159,606.2893469,5.0339985,3951024.0,5,Aco
164,494.3110502,5.3396354,29881.09,3,Aco
165,590.2954495,5.3396354,56391.914,3,Aco
176,620.3053196,5.5341744,1262158.5,4,Aco
192,574.3003975,6.133916,229659.47,4,Aco
196,604.3099225,6.263165,11500000.0,3,Aco
204,588.3155237,6.5615973,96246.39,4,Aco
206,572.2849996,6.6599507,337319.03,4,Aco
208,648.3001101,6.7611213,214599.4,3,Aco
211,550.242516,6.829687,219976.86,5,Aco
213,646.3209172,6.8983326,60638.586,4,Aco
222,530.3102937,7.0902557,714613.1,3,Aco
226,586.3005332,7.2198615,159625.02,4,Aco
230,556.2896226,7.382436,631057.3,3,Aco
231,662.3158348,7.382436,200250.81,4,Aco
239,558.3056054,7.5766554,55997.83,3,Aco
245,614.2946471,7.778046,63293.96,4,Aco
259,616.3099439,7.939742,6419893.5,5,Aco
266,628.3108735,8.275961,255896.08,4,Aco
270,760.3893796,8.4156475,63951.32,3,Aco
272,730.3784465,8.446245,56894.926,6,Aco
278,630.3260475,8.579494,771034.8,6,Aco
293,744.3938177,8.970517,338746.3,5,Aco
329,886.5293397,9.9216385,238877.36,5,Aco
345,900.5463454,10.429681,33867.996,5,Aco
350,932.4808092,10.555263,21768.672,5,Aco
359,886.5295663,10.679468,75573.93,5,Aco
480,868.5189322,12.809665,362191.97,3,Aco
483,850.5090608,12.839348,127889.42,5,Aco
484,884.5127922,12.933759,71448.18,5,Aco
503,882.5351244,13.183671,157110.0,3,Aco
506,852.523661,13.31057,1724838.5,5,Aco
513,882.5340877,13.339788,89072.586,3,Aco
515,868.5183139,13.399991,361653.94,9,Aco
538,850.5083464,13.898979,163023.56,5,Aco
576,864.5242067,14.812029,99581.52,3,Aco
581,826.5084841,14.875862,78990.586,3,Aco
583,834.5133071,14.935359,1078183.9,5,Aco
584,882.5341448,14.935359,698991.06,3,Aco
586,796.4978691,14.973877,84022.42,5,Aco
591,796.4977505,15.099935,249674.53,5,Aco
592,852.5236224,15.099935,3824493.0,3,Aco
597,844.5185764,15.197249,911152.25,4,Aco
598,848.5290593,15.197249,156482.88,6,Aco
601,810.5132919,15.259739,450481.72,5,Aco
603,870.5339885,15.293689,491182.2,4,Aco
605,866.5394025,15.3232,2305229.8,5,Aco
606,836.5288005,15.419248,19600000.0,5,Aco
607,858.5336791,15.419248,474919.56,4,Aco
611,798.5130643,15.551061,769266.1,5,Aco
612,828.5239909,15.58048,3269426.5,3,Aco
614,824.5285242,15.642145,280279.88,5,Aco
615,850.5443794,15.642145,3339250.8,6,Aco
616,854.5387851,15.671517,1777570.6,3,Aco
619,824.5288445,15.80482,253770.02,6,Aco
620,842.5393902,15.80482,1168112.5,4,Aco
623,868.55438,15.863719,854180.25,3,Aco
625,812.5288147,15.893075,12500000.0,5,Aco
632,826.5446846,16.079638,1865865.6,6,Aco
635,852.5593676,16.143824,1337081.5,6,Aco
676,896.623635,17.558704,151747.34,5,Aco
