row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
1,259.8940241,0.11105708,52955.426
2,158.9611728,0.14922312,281247.6
3,200.9720916,0.14922312,116984.305
4,276.8963399,0.14922312,171670.06
5,182.9848994,0.31047088,1843630.1
6,246.8617982,0.31047088,126965.06
7,264.8724329,0.31047088,361873.7
8,287.8883711,0.31047088,394431.34
9,305.8988021,0.31047088,415180.16
10,328.9146884,0.31047088,142688.7
11,282.8831375,0.34057912,179916.92
12,233.1239073,0.49978808,164145.02
13,266.1228282,0.52890235,797553
14,278.1231487,0.5659014,133562.72
15,158.0922106,0.59522784,192209.8
16,182.9849942,0.6343042,904021.44
17,394.2584026,0.6343042,153219.88
18,331.9149681,0.6651459,65921.24
19,223.0633719,0.8588874,775857.06
20,297.0821414,0.8588874,831079.4
21,371.1006808,0.8588874,680862.94
22,163.0751228,0.96667755,138452.16
23,180.1016951,0.96667755,1402677.4
24,166.0860819,0.9966996,36330.797
25,268.103548,0.9966996,404763.4
26,196.1329405,1.0269097,638058.06
27,394.2582577,1.0269097,870898.2
28,212.1026168,1.1576636,53105.09
29,164.0704002,1.227882,85401.91
30,502.2642346,1.3553861,137501.11
31,180.1380291,1.4251885,299781.06
32,254.1606444,1.4251885,87946.35
33,199.1074676,1.4602885,50622.023
34,180.101733,1.521754,147322.97
35,178.0860453,1.6202784,259316.92
36,166.0860643,1.6859947,140476.33
37,194.1173663,1.6859947,87939.15
38,262.1070066,1.6859947,30576.92
39,378.263152,1.819817,87759.13
40,232.0964112,1.8502911,38055.684
41,394.2580558,1.8861929,1837043.4
42,186.1234735,1.9468476,177070.97
43,502.2641222,1.9468476,224104.55
44,197.1282346,1.9775428,29446.078
45,408.2738073,1.9775428,29601.5
46,232.0965108,2.0420084,24600.105
47,213.123071,2.0773659,21850.57
48,194.117389,2.108191,122648.87
49,253.1290932,2.108191,57682.29
50,176.0704335,2.1477225,132920.48
51,378.2632263,2.1785643,131704.52
52,226.0706157,2.2490046,49277.086
53,230.0808341,2.3455055,64094.203
54,274.1070298,2.3845322,40458.105
55,364.2475126,2.3845322,108960.28
56,486.269216,2.3845322,521343.44
57,167.1176514,2.5113728,134559.38
58,440.2634733,2.5113728,138690.39
59,378.2629745,2.5502405,556131.8
60,374.2315291,2.5800896,51228.26
61,394.2577471,2.5800896,83675.05
62,424.2682219,2.5800896,544449.2
63,486.2686068,2.5800896,2685359.2
64,364.2471905,2.6101592,684455.3
65,516.2795831,2.6411061,97672.62
66,330.205713,2.7032812,21692.506
67,360.2525968,2.7032812,89854.16
68,260.0913435,2.7399023,73649.65
69,394.2581521,2.7704713,70812.81
70,424.268588,2.7704713,349889.44
71,360.2523847,2.8363078,93634.35
72,350.2318945,2.866841,106449.766
73,454.2791803,2.866841,279215.38
74,230.0807147,2.8992338,33255.508
75,372.2159013,2.9291763,81037.23
76,378.2627521,2.9291763,2964192.2
77,408.2732583,2.9291763,3065994
78,438.2838641,2.963734,69566.79
79,360.252383,2.9943447,71717.53
80,454.2791117,2.9943447,88149.4
81,468.258539,2.9943447,150775.22
82,261.1229144,3.0251644,28916.686
83,500.2845473,3.06237,652103.6
84,374.2315853,3.0927303,90857.86
85,257.1277301,3.1307874,65465.992
86,361.2558867,3.1307874,120036.76
87,358.2366582,3.160764,4110196.8
88,330.2054639,3.1908305,891736.5
89,348.2523591,3.1908305,98116.79
90,406.2579907,3.2257047,187789.7
91,328.1900131,3.2563994,160759.02
92,440.2634042,3.2563994,43099.28
93,220.0964305,3.2872183,118065.06
94,422.2528454,3.2872183,69397.94
95,244.0962752,3.3222387,42499.465
96,346.2004181,3.3222387,356492.78
97,438.2840237,3.3222387,110365.625
98,436.2322832,3.3524952,125184.85
99,314.2105875,3.3912923,52386.805
100,470.2738123,3.3912923,1640546.5
101,330.2054611,3.4513874,504557
102,388.2525951,3.4513874,57436.08
103,454.2785841,3.4513874,1.09E+07
104,422.252226,3.489554,131864.48
105,436.2679442,3.489554,22819.945
106,378.2630174,3.5200427,35725.527
107,454.278978,3.6165698,1001978.25
108,420.2738696,3.680545,17679.08
109,432.2793227,3.680545,60483.527
110,438.2837549,3.680545,2.31E+07
111,441.2922398,3.680545,120333.87
112,600.3358993,3.7132807,80631.77
113,452.2634691,3.774367,209833.53
114,468.2948687,3.8108795,213304.95
115,340.2587725,3.8411508,274853.7
116,420.2734823,3.8411508,452138.06
117,438.2840876,3.8411508,767566.94
118,450.2841027,3.8411508,315426.97
119,362.2682864,3.876154,58936.27
120,484.2898487,3.876154,268661.44
121,436.2686504,3.9075582,33000.863
