row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C6 ion,C6 ion_intensity,C6 ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C7 ion,C7 ion_intensity,C7 ion_score,C8 ion,C8 ion_intensity,C8 ion_score,C9 ion,C9 ion_intensity,C9 ion_score,C10 ion,C10 ion_intensity,C10 ion_score,C11 ion,C11 ion_intensity,C11 ion_score,C12 ion,C12 ion_intensity,C12 ion_score,C13 ion,C13 ion_intensity,C13 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C26 ion,C26 ion_intensity,C26 ion_score,A parts,B parts,C parts,D parts,Annotation Structure
1018,519.222,8.7,0,11438.659,0,0,0,209348.5,34,Limonoid,C27H34O10,[M+H]+,"1018, 1019",CH2O2,C24H28O8 / C23H26O6,33000.0 / 28000.0,0.262,C2H4O2,C26H32O8 / C24H28O6,11000.0 / 26000.0,0.1022,C6H8O2,6400,0.064,none,none,none,C7H8O,5300,0.053,C8H10,3000,0.03,C9H10,6100,0.061,C10H12O,4000,0.04,C11H14O,2700,0.027,C12H12O,6200,0.062,C13H14O,5300,0.053,C14H14O2,5100,0.051,C15H14O3,6600,0.066,C16H16O2,5500,0.055,C17H16O2,6400,0.064,C26H30O7,4600,0.046,A1,B2,C1,D6,A1B2C1D6
1019,536.2485,8.7,0,0,0,0,0,446349.06,28,Limonoid,C27H37O10N1,[M+NH4]+,"1018, 1019",CH2O2,C24H28O8 / C23H26O6,110000.0 / 60000.0,0.5352,C2H4O2,C26H30O9 / C24H26O7,15000.0 / 150000.0,0.3129,C6H8O2,4000,0.04,none,none,none,C7H8O,4200,0.042,C8H10,3800,0.038,C9H10,8000,0.08,C10H12O,5200,0.052,C11H10O2,4300,0.043,C12H12O,8000,0.08,C13H14O,3800,0.038,C14H12O,5200,0.052,C15H14O3,6700,0.067,C16H16O2,8000,0.08,C17H18O2,8700,0.087,C26H30O7,7600,0.076,A1,B2,C1,D6,A1B2C1D6
1019,536.2485,8.7,0,0,0,0,0,446349.06,28,Limonoid,C27H37O10N1,[M+NH4]+,"1018, 1019",CH6O2,C25H30O8 / C24H24O6,40000.0 / 43000.0,0.387,C2H4O2,C26H30O9 / C24H26O7,15000.0 / 150000.0,0.3129,C6H8O2,4000,0.04,none,none,none,C7H8O,4200,0.042,C8H10,3800,0.038,C9H10,8000,0.08,C10H12O,5200,0.052,C11H10O2,4300,0.043,C12H12O,8000,0.08,C13H14O,3800,0.038,C14H12O,5200,0.052,C15H14O3,6700,0.067,C16H16O2,8000,0.08,C17H18O2,8700,0.087,C26H30O7,7600,0.076,A1,B2,C1,D6,A1B2C1D6
1033,473.2166,8.8,0,0,300336.5,66548.4,0,7620.636,27,Limonoid,C26H32O8,[M+H]+,"1030, 1033",CH2O2,C26H32O8 / C25H30O6,54000.0 / 86000.0,0.4804,C2H4O2,C26H32O8 / C24H28O6,54000.0 / 43000.0,0.3953,none,none,none,C5H2O2,28000,0.28,C7H10O,10000,0.1,C8H12,7300,0.073,C9H12O,9000,0.09,C10H8O2,130000,1.3,C11H10O2,21000,0.21,C12H10O2,64000,0.64,C13H10O4,17000,0.17,C14H14O2,17000,0.17,C15H14O3,38000,0.38,C16H16O2,9000,0.09,C17H16O2,6600,0.066,C26H30O7,34000,0.34,A1,none,C1,D7,none
1033,473.2166,8.8,0,0,300336.5,66548.4,0,7620.636,27,Limonoid,C26H32O8,[M+H]+,"1030, 1033",CH0O2,C24H28O6 / C23H28O4,43000.0 / 110000.0,0.4078,C2H4O2,C26H32O8 / C24H28O6,54000.0 / 43000.0,0.3953,none,none,none,C5H2O2,28000,0.28,C7H10O,10000,0.1,C8H12,7300,0.073,C9H12O,9000,0.09,C10H8O2,130000,1.3,C11H10O2,21000,0.21,C12H10O2,64000,0.64,C13H10O4,17000,0.17,C14H14O2,17000,0.17,C15H14O3,38000,0.38,C16H16O2,9000,0.09,C17H16O2,6600,0.066,C26H30O7,34000,0.34,A1,none,C1,D7,none
1030,490.2431,8.8,0,0,212225.75,0,0,0,30,Limonoid,C26H35O8N1,[M+NH4]+,"1030, 1033",CH0O2,C24H28O6 / C23H28O4,57000.0 / 62000.0,0.5489,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 57000.0,0.2604,none,none,none,none,none,none,C7H10O,11000,0.11,C8H12,6100,0.061,C9H12O,7000,0.07,C10H8O2,97000,0.97,C11H10O2,22000,0.22,C12H10O2,43000,0.43,C13H10O4,3400,0.034,C14H14O2,16000,0.16,C15H14O3,40000,0.4,C16H18O2,6300,0.063,C17H18O3,6100,0.061,C26H30O7,27000,0.27,A1,none,C1,D7,none
1030,490.2431,8.8,0,0,212225.75,0,0,0,30,Limonoid,C26H35O8N1,[M+NH4]+,"1030, 1033",CH2O2,C26H32O8 / C25H30O6,29000.0 / 38000.0,0.2641,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 57000.0,0.2604,none,none,none,none,none,none,C7H10O,11000,0.11,C8H12,6100,0.061,C9H12O,7000,0.07,C10H8O2,97000,0.97,C11H10O2,22000,0.22,C12H10O2,43000,0.43,C13H10O4,3400,0.034,C14H14O2,16000,0.16,C15H14O3,40000,0.4,C16H18O2,6300,0.063,C17H18O3,6100,0.061,C26H30O7,27000,0.27,A1,none,C1,D7,none
1171,501.2116,9.7,0,0,0,0,0,67478,14,Limonoid,C27H32O9,[M+H]+,"1171, 1172",CH6O2,C26H32O8 / C25H26O6,7000.0 / 2300.0,0.0231,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C26H30O7,6000,0.06,none,none,C1,none,none
1172,518.2382,9.7,0,0,0,0,0,240056.1,27,Limonoid,C27H35O9N1,[M+NH4]+,"1171, 1172",CH6O2,C26H32O8 / C25H26O6,94000.0 / 21000.0,0.2534,C2H4O2,C26H28O6 / C24H24O8,20000.0 / 20000.0,0.2,none,none,none,none,none,none,C7H6O2,14000,0.14,none,none,none,C9H10O,5100,0.051,C10H12O,18000,0.18,C11H12O,3500,0.035,C12H10O2,4100,0.041,none,none,none,C14H14O2,4800,0.048,C15H14O3,5500,0.055,C16H16O,20000,0.2,C17H16O2,12000,0.12,C26H30O7,59000,0.59,A1,none,C1,none,none
1172,518.2382,9.7,0,0,0,0,0,240056.1,27,Limonoid,C27H35O9N1,[M+NH4]+,"1171, 1172",CH2O2,C25H26O6 / C24H24O8,21000.0 / 20000.0,0.1955,C2H4O2,C26H28O6 / C24H24O8,20000.0 / 20000.0,0.2,none,none,none,none,none,none,C7H6O2,14000,0.14,none,none,none,C9H10O,5100,0.051,C10H12O,18000,0.18,C11H12O,3500,0.035,C12H10O2,4100,0.041,none,none,none,C14H14O2,4800,0.048,C15H14O3,5500,0.055,C16H16O,20000,0.2,C17H16O2,12000,0.12,C26H30O7,59000,0.59,A1,none,C1,none,none
