row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,identification,same composition
286,556.238,3.6,0,30742.72,0,0,0,0,10,Limonoid,C26H37O12N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
533,570.2538,5.4,0,0,0,0,0,68035.39,10,Limonoid,C27H39O12N1,[M+NH4]+,none,CH2O2,C24H28O9 / C23H26O7,4100.0 / 4600.0,0.039,none,none,none,none,possibly undescribed,none
647,519.186,6.1,0,0,0,0,0,58456.734,10,Limonoid,C26H30O11,[M+H]+,none,CH4O2,C24H26O9 / C23H22O7,66000.0 / 27000.0,0.2529,C2H4O2,C26H26O9 / C24H22O7,4400.0 / 16000.0,0.0477,possibly undescribed,none
647,519.186,6.1,0,0,0,0,0,58456.734,10,Limonoid,C26H30O11,[M+H]+,none,CH2O2,C24H24O8 / C23H22O6,27000.0 / 21000.0,0.192,C2H4O2,C26H26O9 / C24H22O7,4400.0 / 16000.0,0.0477,possibly undescribed,none
1702,425.2891,13.5,0,0,0,0,75179.53,0,10,Limonoid,C24H40O6,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1798,427.3044,14.3,0,0,0,0,74542.73,16534.297,10,Limonoid,C24H42O6,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1808,516.3892,14.4,0,0,0,0,0,163242.69,10,Limonoid,C28H53O7N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1937,437.3263,15.6,0,0,0,0,0,69204.93,10,Limonoid,C26H44O5,[M+H]+,none,CH2O2,C26H42O4 / C25H40O2,23000.0 / 3900.0,0.0556,none,none,none,none,possibly undescribed,none
1937,437.3263,15.6,0,0,0,0,0,69204.93,10,Limonoid,C26H44O5,[M+H]+,none,CH6O2,C26H36O1 / C25H42O3,1800.0 / 2200.0,0.0167,none,none,none,none,possibly undescribed,none
1959,496.3628,15.9,0,0,0,0,0,68078.36,10,Limonoid,C28H49O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1976,462.342,16,67572.15,65501.203,111630.086,132356.4,105462.93,113668.445,10,Limonoid,C24H47O7N1,[M+NH4]+,none,CH16O2,C24H42O6 / C23H58O8,77000.0 / 6100.0,0.1535,none,none,none,none,possibly undescribed,none
1985,458.3476,16.1,0,20867.18,0,0,0,103831.98,10,Limonoid,C25H47O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2017,462.3417,16.4,56848.188,49470.664,53921.633,51008.15,0,47958.617,10,Limonoid,C24H47O7N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2248,557.4558,18.7,0,0,0,0,0,77503.375,10,Limonoid,C36H60O4,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2282,454.3883,19,0,0,0,0,17439.846,60863.043,10,Limonoid,C27H51O4N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2293,578.477,19.2,0,0,0,0,591089.8,0,10,Limonoid,C35H63O5N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2327,542.4837,19.6,395843.06,0,0,0,0,0,10,Limonoid,C32H64O5N,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2345,626.5346,19.9,0,12597.007,0,0,60515.668,80868.41,10,Limonoid,C37H71O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
274,538.2272,3.5,0,55889.082,0,0,0,0,11,Limonoid,C26H35O11N1,[M+NH4]+,none,CH0O2,C26H28O9 / C25H28O7,32000.0 / 24000.0,0.2178,C2H4O2,C26H28O9 / C24H24O7,32000.0 / 4700.0,0.0738,possibly undescribed,none
274,538.2272,3.5,0,55889.082,0,0,0,0,11,Limonoid,C26H35O11N1,[M+NH4]+,none,CH4O2,C25H30O8 / C24H26O6,35000.0 / 20000.0,0.1779,C2H4O2,C26H28O9 / C24H24O7,32000.0 / 4700.0,0.0738,possibly undescribed,none
274,538.2272,3.5,0,55889.082,0,0,0,0,11,Limonoid,C26H35O11N1,[M+NH4]+,none,CH2O2,C25H28O8 / C24H26O6,8500.0 / 20000.0,0.0789,C2H4O2,C26H28O9 / C24H24O7,32000.0 / 4700.0,0.0738,possibly undescribed,none
