row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type
274,538.2272261,3.4569101,0,55889.082,0,0,0,0,11,Limonoid
286,556.2380056,3.582349,0,30742.72,0,0,0,0,10,Limonoid
445,556.2381897,4.8076715,0,0,0,0,0,213281.34,17,Limonoid
533,570.2538163,5.413351,0,0,0,0,0,68035.39,10,Limonoid
559,570.2537807,5.5488205,0,0,0,0,0,155436.5,23,Limonoid
594,570.2541967,5.7652454,0,0,0,0,7979.456,268780.8,33,Limonoid
618,536.2121884,5.973829,0,0,0,0,0,86489.41,18,Limonoid
647,519.1859839,6.0977144,0,0,0,0,0,58456.734,10,Limonoid
682,536.2124877,6.353249,0,0,0,0,0,43450.562,16,Limonoid
688,554.2594047,6.418222,0,0,0,0,0,39246.46,12,Limonoid
724,505.2060479,6.5802794,0,0,0,0,0,54550.35,14,Limonoid
726,568.2380061,6.5802794,0,0,0,0,0,68075.71,23,Limonoid
745,461.1797618,6.707554,0,0,0,0,0,107287.25,35,Limonoid
772,584.2697052,6.8528814,0,0,0,58321.35,0,34590.332,14,Limonoid
773,461.1797351,6.8569164,0,0,0,20534.977,0,295768.7,61,Limonoid
775,520.2173015,6.858106,0,0,98156.81,218880.05,37122.43,2502244.2,36,Limonoid
777,503.1905352,6.861587,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid
804,505.2063221,7.057213,0,22803.129,0,0,0,122791.67,33,Limonoid
805,522.2333214,7.057213,0,40387.21,0,0,0,111524.95,26,Limonoid
811,554.2595504,7.08347,0,0,0,0,0,130251.695,16,Limonoid
822,522.2341847,7.1479163,0,0,0,0,0,334611.84,14,Limonoid
829,487.1957165,7.2235446,0,15075.422,0,0,0,222880.72,11,Limonoid
830,505.2061583,7.2235446,0,32614.602,0,0,0,565067.06,12,Limonoid
860,505.2051457,7.4501386,0,8421.193,5175.3975,0,0,669512,19,Limonoid
869,522.232464,7.5056744,0,0,0,0,0,1177401.1,12,Limonoid
892,712.3166379,7.689788,6371.1963,0,12644.291,25695.773,63639.047,0,34,Limonoid
894,501.1748401,7.7003446,0,0,0,0,0,251040.84,19,Limonoid
896,505.2057724,7.7007327,0,0,0,22144.637,0,189189.78,38,Limonoid
898,564.2434045,7.7102275,0,0,121226.56,367192.3,0,0,24,Limonoid
923,487.1957261,7.868933,0,99507.32,10302.998,0,0,1699144.4,16,Limonoid
949,501.2112777,8.059009,0,0,0,0,0,405622.56,38,Limonoid
966,504.2223506,8.194342,0,91377.66,0,0,0,2755372.2,21,Limonoid
969,487.1955377,8.225276,0,0,0,0,0,1999476.4,29,Limonoid
974,501.2113701,8.289554,0,0,0,0,0,219804.89,18,Limonoid
975,536.2484709,8.289554,0,0,0,0,0,811502.75,34,Limonoid
978,489.2107253,8.307087,0,0,0,0,110709.125,10397.664,12,Limonoid
985,534.2340948,8.388288,0,0,0,0,0,61898.273,22,Limonoid
1018,519.2219957,8.717897,0,11438.659,0,0,0,209348.5,34,Limonoid
1019,536.2485133,8.719499,0,0,0,0,0,446349.06,28,Limonoid
1030,490.2431116,8.773264,0,0,212225.75,0,0,0,30,Limonoid
1033,473.2165887,8.805728,0,0,300336.5,66548.4,0,7620.636,27,Limonoid
1065,520.2548031,9.001342,0,0,0,0,0,102841.19,32,Limonoid
1163,501.2117158,9.641054,0,30757.582,0,0,0,76220.336,24,Limonoid
1171,501.2115964,9.712668,0,0,0,0,0,67478,14,Limonoid
1172,518.2381558,9.712668,0,0,0,0,0,240056.1,27,Limonoid
1204,550.2640364,9.931675,0,0,0,0,0,64830.42,41,Limonoid
1272,564.2791459,10.423128,0,0,0,0,1184836.8,0,20,Limonoid
1285,411.2156336,10.500477,0,0,0,0,0,164251.78,28,Limonoid
1286,455.205732,10.509447,0,268701.1,510842.38,192418.4,0,1792740.5,11,Limonoid
1324,504.2584927,10.84252,0,0,0,0,28503.865,605344.1,11,Limonoid
1325,487.231947,10.846633,0,0,0,0,0,224352.73,13,Limonoid
1619,463.3051937,12.825587,51420.547,72408.195,61584.043,67621.33,69447.25,97347.61,12,Limonoid
1702,425.2890809,13.458514,0,0,0,0,75179.53,0,10,Limonoid
1798,427.3044366,14.32702,0,0,0,0,74542.73,16534.297,10,Limonoid
1808,516.3891626,14.412424,0,0,0,0,0,163242.69,10,Limonoid
1825,516.3889487,14.571846,0,0,0,0,0,259288.94,12,Limonoid
1937,437.3262684,15.617811,0,0,0,0,0,69204.93,10,Limonoid
1955,417.3357943,15.83691,101439.98,96969.72,84121.62,101800.01,88842.445,90542.055,14,Limonoid
1959,496.3627631,15.895421,0,0,0,0,0,68078.36,10,Limonoid
1976,462.3420315,16.020712,67572.15,65501.203,111630.086,132356.4,105462.93,113668.445,10,Limonoid
1985,458.3476373,16.144787,0,20867.18,0,0,0,103831.98,10,Limonoid
2017,462.3417111,16.420559,56848.188,49470.664,53921.633,51008.15,0,47958.617,10,Limonoid
2022,417.3358482,16.45363,69934.5,70280.33,78548.516,75564.914,62020.344,60743.152,24,Limonoid
2030,498.3784138,16.569702,0,39645.664,0,0,0,500245.78,12,Limonoid
2050,435.3458712,16.760996,0,35169.707,0,0,12162.543,167439.33,12,Limonoid
2056,476.3577165,16.811285,87222.54,271401.78,215485.95,326132.9,258304.16,107728.14,11,Limonoid
2065,417.3677656,16.836573,197683.97,239471.3,335943.4,182045.44,177618.92,131980.61,12,Limonoid
2076,490.3732879,16.972963,83345.766,144642.22,67383.4,90029.484,0,62675.977,12,Limonoid
2092,457.3277743,17.042372,31789.63,15626.243,35548.14,24611.496,103179.44,24098.686,12,Limonoid
2100,423.397847,17.150434,355420.34,0,0,0,0,0,13,Limonoid
2108,450.3213335,17.19727,17894.074,0,0,0,83842.586,0,19,Limonoid
2119,514.4098518,17.27816,0,0,0,0,0,188553.31,13,Limonoid
2127,573.4512901,17.403755,0,0,0,0,0,164764.17,19,Limonoid
2128,608.4886912,17.403755,0,0,0,0,0,206935.38,11,Limonoid
2160,575.4673541,17.702574,0,0,0,0,10960.396,206116.75,15,Limonoid
2242,622.5034137,18.56176,0,0,0,0,58280.6,103900.28,13,Limonoid
2245,582.4056556,18.600971,0,0,0,0,226674,0,12,Limonoid
2248,557.4558333,18.676863,0,0,0,0,0,77503.375,10,Limonoid
2253,550.6277972,18.720667,0,695179.06,0,619112.9,0,557230.75,12,Limonoid
2282,454.3882967,19.01878,0,0,0,0,17439.846,60863.043,10,Limonoid
2293,578.4769764,19.173742,0,0,0,0,591089.8,0,10,Limonoid
2299,442.3668119,19.315016,116415.93,74565.15,56822.53,80662.37,68744.875,63317.555,12,Limonoid
2300,456.3463673,19.315016,165259.2,102704.125,109459.65,119279.26,103226.375,105296.945,12,Limonoid
2315,606.5086111,19.530388,0,43343.4,0,0,49637.055,135211.34,11,Limonoid
2327,542.483715,19.64747,395843.06,0,0,0,0,0,10,Limonoid
2345,626.534551,19.868277,0,12597.007,0,0,60515.668,80868.41,10,Limonoid
