Latin,Family,Species,Genus,PlotSampled,ScottyCreek,WindRiver,CedarBreaks,TysonResearchCenter,MichiganBigWoods,SCBI,SERC
Alnus_crispa,Betulaceae,ALNUCR,ALNU,ScottyCreek,1,0,0,0,0,0,0
Betula_alleghaniensis,Betulaceae,BETUAL,BETU,Michigan,0,0,0,0,1,0,0
Betula_glandulosa,Betulaceae,BETUGL,BETU,ScottyCreek,1,0,0,0,0,0,0
Betula_neoalaskana,Betulaceae,BETUNE,BETU,ScottyCreek,1,0,0,0,0,0,0
Betula hybrid Scotty Creek,Betulaceae,BETUX1,BETU,ScottyCreek,1,0,0,0,0,0,0
Carpinus_caroliniana,Betulaceae,CARPCA,CARP,SCBI,0,0,0,0,0,1,1
Carpinus_caroliniana,Betulaceae,CARPCA,CARP,Michigan,0,0,0,0,1,0,0
Corylus_americana,Betulaceae,CORYAM,CORY,SCBI,0,0,0,0,0,1,0
Corylus_americana,Betulaceae,CORYAM,CORY,Michigan,0,0,0,0,1,0,0
Corylus_cornuta,Betulaceae,CORYCO,CORY,Windriver,0,1,0,0,0,0,0
Ostrya_virginiana,Betulaceae,OSTRVI,OSTR,SCBI,0,0,0,0,0,1,0
Ostrya_virginiana,Betulaceae,OSTRVI,OSTR,TysonResearch,0,0,0,1,0,0,0
Ostrya_virginiana,Betulaceae,OSTRVI,OSTR,Michigan,0,0,0,0,1,0,0
Cercis_canadensis,Fabaceae,CERCCA,CERC,SCBI,0,0,0,0,0,1,1
Cercis_canadensis,Fabaceae,CERCCA,CERC,TysonResearch,0,0,0,1,0,0,0
Gleditsia_triacanthos,Fabaceae,GLEDTR,GLED,TysonResearch,0,0,0,1,0,0,0
Robinia_pseudoacacia,Fabaceae,ROBIPS,ROBI,SCBI,0,0,0,0,0,1,0
Robinia_pseudoacacia,Fabaceae,ROBIPS,ROBI,Michigan,0,0,0,0,1,0,0
Euonymus_alatus,Celastraceae,EUONAL,EUON,SCBI,0,0,0,0,0,1,0
Populus_grandidentata,Salicaceae,POPUGR,POPU,Michigan,0,0,0,0,1,0,1
Populus_tremuloides,Salicaceae,POPUTR,POPU,CedarBreaks,0,0,1,0,0,0,0
Salix_nigra,Salicaceae,SALINI,SALI,SERC,0,0,0,0,0,0,1
Salix_sp,Salicaceae,SALISP,SALI,ScottyCreek,1,0,0,0,0,0,0
Carya_alba,Juglandaceae,CARYAL,CARY,SERC,0,0,0,0,0,0,1
Carya_cordiformis,Juglandaceae,CARYCO,CARY,SCBI,0,0,0,0,0,1,1
Carya_cordiformis,Juglandaceae,CARYCO,CARY,TysonResearch,0,0,0,1,1,0,0
Carya_glabra,Juglandaceae,CARYGL,CARY,SCBI,0,0,0,0,0,1,0
Carya_glabra,Juglandaceae,CARYGL,CARY,SERC,0,0,0,0,0,0,1
Carya_glabra,Juglandaceae,CARYGL,CARY,TysonResearch,0,0,0,1,0,0,0
Carya_glabra,Juglandaceae,CARYGL,CARY,Michigan,0,0,0,0,1,0,0
Carya_ovalis,Juglandaceae,CARYO1,CARY,SCBI,0,0,0,0,0,1,0
Carya_ovata,Juglandaceae,CARYO2,CARY,TysonResearch,0,0,0,1,0,0,0
Carya_ovata,Juglandaceae,CARYO2,CARY,Michigan,0,0,0,0,1,0,0
Carya_texana,Juglandaceae,CARYTE,CARY,TysonResearch,0,0,0,1,0,0,0
Carya_tomentosa,Juglandaceae,CARYTO,CARY,SCBI,0,0,0,0,0,1,0
Carya_tomentosa,Juglandaceae,CARYTO,CARY,TysonResearch,0,0,0,1,0,0,0
Juglans_cinerea,Juglandaceae,JUGLCI,JUGL,SCBI,0,0,0,0,0,1,0
Juglans_nigra,Juglandaceae,JUGLNI,JUGL,SCBI,0,0,0,0,0,1,1
Juglans_nigra,Juglandaceae,JUGLNI,JUGL,TysonResearch,0,0,0,1,1,0,0
Amelanchier_alnifolia,Rosaceae,AMELAL,AMEL,Windriver,0,1,1,0,0,0,0
Amelanchier_arborea,Rosaceae,AMELAR,AMEL,SCBI,0,0,0,0,0,1,1
Amelanchier_arborea,Rosaceae,AMELAR,AMEL,TysonResearch,0,0,0,1,0,0,0
