row ID,row m/z,row retention time,taxane Score,type
299,568.4267814,16.95,5,taxane
299,568.4267814,16.95,5,taxane
657,545.1993973,7.32,5,taxane
657,545.1993973,7.3,5,taxane
937,393.2770602,16.28,4,taxane
937,393.2770602,16.37,4,taxane
940,545.1990288,7.95,5,taxane
940,545.1990288,8.07,5,taxane
989,691.5254079,18.91,5,taxane
486,568.4267814,16.95,5,taxane
486,568.4267814,16.95,5,taxane
582,551.4246981,16.93,5,taxane
582,551.4246981,16.93,5,taxane
937,619.2762242,10.43,4,taxane
937,619.2762242,10.04,4,taxane
989,545.1985162,7.57,5,taxane
989,545.1985162,7.56,5,taxane
1250,545.1997546,8.27,5,taxane
1250,545.1997546,8.39,5,taxane
1351,311.0732149,2.2,5,taxane
1351,311.0732149,2.2,5,taxane
2001,375.2135779,10.4,4,taxane
2001,375.2135779,10.54,4,taxane
2010,329.1725389,10.99,5,taxane
2010,329.1725389,11.14,5,taxane
2298,617.2562187,11.02,4,taxane
2298,617.2562187,11.02,4,taxane
2317,459.2352381,11.7,5,taxane
2317,459.2352381,11.7,5,taxane
2318,617.255954,10.28,4,taxane
2318,617.255954,10.28,4,taxane
2379,347.1849381,10.37,4,taxane
2379,347.1849381,10.37,4,taxane
2387,545.1987005,7.95,5,taxane
2387,545.1987005,8.07,5,taxane
2405,459.2347829,11.41,5,taxane
2405,459.2347829,11.27,5,taxane
2560,854.3382,0,9,taxane
2561,832.3539,0,6,taxane
