row ID,row m/z,row retention time
1,360.3227347,17.15
1,360.3227347,17.24
2,381.2966608,16.82
2,381.2966608,16.91
3,338.3414936,17.15
3,338.3414936,17.24
4,353.2653046,16.37
4,353.2653046,16.37
5,409.1620852,11.89
5,409.1620852,12
6,282.2037742,11.68
6,282.2037742,11.72
7,116.9859097,21.29
7,116.9859097,21.29
8,266.1720342,11.48
8,266.1720342,11.61
9,274.2738656,11.96
9,274.2738656,11.97
10,250.177574,11.76
10,250.177574,11.7
11,685.4340464,18.2
11,685.4340464,18.26
12,332.2923682,16.74
12,332.2923682,16.81
15,250.1772114,16.58
15,250.1772114,16.66
16,228.1953339,11.59
16,228.1953339,11.7
17,378.3338159,16.07
17,378.3338159,16.07
19,228.1953802,16.45
20,553.3897455,17.7
20,553.3897455,17.78
21,290.2683343,12.11
21,290.2683343,12.19
22,310.31042,16.74
22,310.31042,16.81
23,387.1801088,11.9
23,387.1801088,12
25,559.5173315,18.65
25,559.5173315,18.8
26,419.3147805,17.25
26,419.3147805,17.25
27,358.3079798,16.86
27,358.3079798,16.93
28,359.2400081,13.38
28,359.2400081,13.38
29,337.2345065,15.76
29,337.2345065,15.79
30,321.3149679,17.15
30,321.3149679,17.24
32,388.3540537,17.54
32,388.3540537,17.62
33,663.4526011,18.27
34,587.5485582,19.32
34,587.5485582,19.75
35,435.1574116,11.99
37,859.6040555,17.25
37,859.6040555,17.28
38,393.296556,16.81
38,393.296556,17.01
39,413.2661726,16.81
39,413.2661726,16.82
40,406.3291315,16.5
40,406.3291315,16.57
41,277.1408186,11.53
41,277.1408186,11.54
42,425.2145508,14.86
42,425.2145508,14.88
44,236.1616207,16.58
45,317.1717787,12.45
45,317.1717787,12.56
46,238.141093,9.73
46,238.141093,9.73
47,301.1409131,14.22
47,301.1409131,14.17
48,497.3958445,18.32
48,497.3958445,18.32
50,116.9857737,11.61
50,116.9857737,11.59
52,325.2349484,15.56
52,325.2349484,15.51
53,569.3845439,17.69
54,116.9857777,11.96
54,116.9857777,11.98
55,509.3965653,17.24
55,509.3965653,17.29
56,457.2714848,17.22
56,457.2714848,17.28
57,394.3292687,15.1
57,394.3292687,15.01
58,299.161237,12.45
58,299.161237,12.54
59,116.9856759,10.96
59,116.9856759,10.88
60,340.3573978,17.56
60,340.3573978,17.66
62,116.9857635,10.75
62,116.9857635,10.75
63,116.9857381,11.21
63,116.9857381,11.23
65,229.1410889,17.78
65,229.1410889,17.79
66,116.9856363,9.38
66,116.9856363,9.41
67,441.3337099,16.56
67,441.3337099,16.63
68,116.9856548,10.27
68,116.9856548,10.17
69,116.9857235,11.37
69,116.9857235,11.37
70,321.2398901,15.12
70,321.2398901,15.13
71,116.9858048,12.17
71,116.9858048,12.07
73,116.9857483,9.83
73,116.9857483,9.83
74,229.1410521,17.6
74,229.1410521,17.59
75,373.2713867,15.55
75,373.2713867,15.61
76,229.1411234,18.37
76,229.1411234,18.44
77,229.1410858,17.31
77,229.1410858,17.39
78,366.3727602,17.53
78,366.3727602,17.62
79,229.1410904,19.38
79,229.1410904,19.38
80,675.6752024,17.15
80,675.6752024,17.24
82,170.0961965,19.99
82,170.0961965,19.98
83,293.2085774,14.26
83,293.2085774,14.14
84,230.2477896,12.12
84,230.2477896,12.12
85,170.0962447,20.79
85,170.0962447,20.76
86,170.0961875,19.47
86,170.0961875,19.42
87,170.0962067,18.78
87,170.0962067,18.82
88,336.3261077,16.86
90,335.1251443,14.08
90,335.1251443,14.09
92,415.2364222,16.37
92,415.2364222,16.37
96,239.161878,12.69
97,236.1619741,10.82
98,321.2398382,15.26
98,321.2398382,15.24
99,296.2195569,12.96
100,321.2398279,15.48
100,321.2398279,15.55
102,295.2238737,14.61
102,295.2238737,14.63
103,577.4583145,17.86
103,577.4583145,17.86
106,525.3907614,18.18
106,525.3907614,18.18
107,379.2620318,16.27
108,293.2086034,14.44
108,293.2086034,14.44
109,343.3387911,18.05
109,343.3387911,17.98
110,245.0785406,11.03
112,531.4071616,17.68
